Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,100,155,294251.0000000001,9.534942182001005,0.5804382642802349,15,
In-Sample,Medoid 1,100,170,272319.0,9.534942182001005,0.537085,18,
In-Sample,Medoid 2,110,145,203786.9999999999,9.534942182001005,0.401848,27,
In-Sample,Medoid 3,10,200,200165.0000000003,9.534942182001005,0.394652,34,
In-Sample,Medoid 4,145,165,181606.9999999996,9.534942182001005,0.358055,26,
In-Sample,Medoid 5,95,215,143001.00000000017,9.534942182001005,0.281938,12,
Out-of-Sample,Best,100,155,111273.99999999985,9.454865181711606,0.5097082224618179,8,
Out-of-Sample,Medoid 1,100,170,144886.00000000035,9.454865181711606,0.6639394753108393,6,
Out-of-Sample,Medoid 2,110,145,117574.0,9.454865181711606,0.538558516498553,8,
Out-of-Sample,Medoid 3,10,200,-128376.00000000003,9.454865181711606,-0.5880980588317828,18,
Out-of-Sample,Medoid 4,145,165,88170.00000000012,9.454865181711606,0.4037639234167307,8,
Out-of-Sample,Medoid 5,95,215,34091.99999999991,9.454865181711606,0.1560843945319437,4,
Full,Best,100,155,405524.9999999999,9.510907811400422,0.5592444653372481,23,17.0
Full,Medoid 1,100,170,417205.00000000023,9.510907811400422,0.5753509580725951,18,17.0
Full,Medoid 2,110,145,321360.9999999999,9.510907811400422,0.44306356396579555,27,17.0
Full,Medoid 3,10,200,71789.00000000026,9.510907811400422,0.09893063156946905,34,17.0
Full,Medoid 4,145,165,269776.99999999977,9.510907811400422,0.37187614426664045,26,17.0
Full,Medoid 5,95,215,177093.0,9.510907811400422,0.24409627182794044,12,17.0
