Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,100,155,294251.0000000001,9.534942182001005,0.5804382642802349,15,
In-Sample,Medoid 1,110,160,264435.0,9.534942182001005,0.521535,22,
In-Sample,Medoid 2,110,145,203786.9999999999,9.534942182001005,0.401848,27,
In-Sample,Medoid 3,10,195,198245.00000000044,9.534942182001005,0.39086,34,
In-Sample,Medoid 4,95,185,194966.9999999998,9.534942182001005,0.384418,18,
In-Sample,Medoid 5,140,175,179201.00000000006,9.534942182001005,0.353323,20,
Out-of-Sample,Best,100,155,111273.99999999985,9.454865181711606,0.5097082224618179,8,
Out-of-Sample,Medoid 1,110,160,145015.99999999985,9.454865181711606,0.6644745748617504,8,
Out-of-Sample,Medoid 2,110,145,117574.0,9.454865181711606,0.538558516498553,8,
Out-of-Sample,Medoid 3,10,195,-129055.99999999987,9.454865181711606,-0.5911820656292369,18,
Out-of-Sample,Medoid 4,95,185,93500.00000000003,9.454865181711606,0.42820868196887496,8,
Out-of-Sample,Medoid 5,140,175,120652.00000000003,9.454865181711606,0.5526919681363214,6,
Full,Best,100,155,405524.9999999999,9.510907811400422,0.5592444653372481,23,17.0
Full,Medoid 1,110,160,409450.99999999977,9.510907811400422,0.5646406453890397,22,17.0
Full,Medoid 2,110,145,321360.9999999999,9.510907811400422,0.44306356396579555,27,17.0
Full,Medoid 3,10,195,69189.00000000057,9.510907811400422,0.09534514338927147,34,17.0
Full,Medoid 4,95,185,288466.99999999965,9.510907811400422,0.3976663693930306,18,17.0
Full,Medoid 5,140,175,299853.00000000006,9.510907811400422,0.4133786610980198,20,17.0
