period_label,date,trading_days,Best_sharpe,Best_return,Medoid_1_sharpe,Medoid_1_return,Medoid_2_sharpe,Medoid_2_return,Medoid_3_sharpe,Medoid_3_return,Avg_Medoid_sharpe,Avg_Medoid_return,Best_sharpe_rounded,Avg_Medoid_sharpe_rounded
2021-09,2021-09-15,36,-0.6049400477948769,-5249.999999999997,-2.302872799459784,-19804.000000000022,2.2950515123371735,19734.000000000022,2.2950515123371735,19734.000000000022,0.762410075071521,6554.666666666674,-0.6,0.76
2021-11,2021-11-15,43,-3.114735481825302,-32529.99999999999,-2.4217700715244543,-25499.999999999996,-1.9856610502928465,-20976.00000000002,-1.9856610502928465,-20976.00000000002,-2.131030724036716,-22484.00000000001,-3.11,-2.13
2022-01,2022-01-15,39,-0.8660830101942731,-10168.000000000025,-0.894355076321495,-10504.000000000015,5.739789888399713,63378.0,5.739789888399713,63378.0,3.528408233492643,38750.666666666664,-0.87,3.53
2022-03,2022-03-15,43,3.719381445861244,43121.99999999999,3.719381445861244,43121.99999999999,3.719381445861244,43121.99999999999,3.719381445861244,43121.99999999999,3.7193814458612438,43121.99999999999,3.72,3.72
2022-05,2022-05-15,42,-3.8602512367467514,-44351.99999999999,-3.8629426002270466,-44401.99999999999,-3.8602512367467514,-44351.99999999999,-3.8602512367467514,-44351.99999999999,-3.8611483579068495,-44368.66666666666,-3.86,-3.86
2022-07,2022-07-15,43,-1.3739456700828523,-17054.0,-0.3874123122871018,-4823.999999999991,0.3874123122871018,4823.999999999991,0.3874123122871018,4823.999999999991,0.12913743742903394,1607.999999999997,-1.37,0.13
2022-09,2022-09-15,42,2.2498595641916803,26090.000000000033,4.456877481754206,50199.999999999985,1.6197465571090526,18870.000000000007,1.6197465571090526,18870.000000000007,2.5654568653241037,29313.333333333332,2.25,2.57
2022-11,2022-11-15,42,-1.4140973804483878,-16877.999999999985,-0.9484406864293484,-11348.000000000031,-1.4140973804483878,-16877.999999999985,-1.4140973804483878,-16877.999999999985,-1.2588784824420414,-15034.666666666666,-1.41,-1.26
2023-01,2023-01-15,39,-2.2810507088230585,-18897.999999999985,1.8364120268378776,15252.000000000007,-1.8364120268378776,-15252.000000000007,-1.8364120268378776,-15252.000000000007,-0.6121373422792925,-5084.000000000003,-2.28,-0.61
2023-03,2023-03-15,42,3.4639878707670984,38417.99999999999,3.4639878707670984,38417.99999999999,-1.9376444237804398,-21834.000000000015,0.41787615777761516,4747.999999999999,0.6480732015880912,7110.66666666666,3.46,0.65
2023-05,2023-05-15,43,-2.0463666242118723,-32027.999999999993,-2.0463666242118723,-32027.999999999993,-2.0463666242118723,-32027.999999999993,-0.7637118220068204,-12038.00000000001,-1.618815023476855,-25364.666666666668,-2.05,-1.62
2023-07,2023-07-15,43,0.9246408817227896,9070.000000000005,0.2389461952645186,2349.99999999998,0.4896565548297588,4810.000000000009,-0.15765399264163588,-1549.9999999999961,0.19031625248421383,1869.9999999999975,0.92,0.19
2023-09,2023-09-15,42,1.0794976020124127,11888.000000000007,0.41523677642409323,4580.000000000028,4.155636728081164,44357.99999999997,4.270827282582551,45498.000000000015,2.947233595695936,31478.66666666667,1.08,2.95
2023-11,2023-11-15,41,1.2608896408187797,12347.999999999989,1.2608896408187797,12347.999999999989,1.2608896408187797,12347.999999999989,1.2608896408187797,12347.999999999989,1.2608896408187797,12347.99999999999,1.26,1.26
2024-01,2024-01-15,41,2.6868078634969317,20882.000000000055,2.2891852698101562,17874.000000000004,2.2891852698101562,17874.000000000004,2.2891852698101562,17874.000000000004,2.2891852698101562,17874.000000000004,2.69,2.29
2024-03,2024-03-15,42,-3.816041961733783,-37659.99999999996,-4.790988471978482,-46542.00000000003,-4.442576735153373,-43421.99999999996,-4.937386645680106,-47850.0,-4.723650617603987,-45938.0,-3.82,-4.72
2024-05,2024-05-15,41,1.2814667520115945,13355.999999999984,-0.37718321134192956,-3946.000000000053,2.3451730788825635,24263.999999999956,0.40932505782548195,4283.999999999945,0.792438308455372,8200.666666666615,1.28,0.79
2024-07,2024-07-15,44,-2.5139581126630475,-33747.99999999999,-2.4306631773237743,-32680.000000000022,0.7618606836920058,10350.0,0.7618606836920058,10350.0,-0.3023139366465876,-3993.3333333333408,-2.51,-0.3
2024-09,2024-09-15,43,1.300072211749556,15382.00000000003,-0.2162652369467941,-2570.000000000012,-1.2804628017324833,-15162.000000000015,-1.2804628017324833,-15162.000000000015,-0.9257302801372536,-10964.66666666668,1.3,-0.93
2024-11,2024-11-15,41,-1.121022965696593,-10832.000000000033,-2.2563132066461575,-21634.0,2.3069561599108623,22116.00000000003,2.3069561599108623,22116.00000000003,0.7858663710585224,7532.666666666686,-1.12,0.79
