Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,45,55,545972.0000000002,16.57533539731682,1.1264065921541204,47,
In-Sample,Medoid 1,30,65,360228.0,16.57533539731682,0.741835,40,
In-Sample,Medoid 2,215,290,103423.99999999994,16.57533539731682,0.481157,15,
In-Sample,Medoid 3,225,265,191379.9999999999,16.57533539731682,0.450423,15,
In-Sample,Medoid 4,30,295,70793.99999999994,16.57533539731682,0.438066,13,
In-Sample,Medoid 5,25,105,200264.0000000001,16.57533539731682,0.412136,30,
Out-of-Sample,Best,45,55,-68841.99999999988,6.65625,-0.3123169775403939,26,
Out-of-Sample,Medoid 1,30,65,-71638.00000000017,6.65625,-0.32493574552356375,14,
Out-of-Sample,Medoid 2,215,290,76144.0,6.65625,0.34542958097158416,5,
Out-of-Sample,Medoid 3,225,265,93087.99999999997,6.65625,0.42230772255448507,5,
Out-of-Sample,Medoid 4,30,295,88508.0,6.65625,0.4015075589326686,3,
Out-of-Sample,Medoid 5,25,105,-25115.999999999978,6.65625,-0.11390137371033625,10,
Full,Best,45,55,477130.00000000023,13.596028880866426,0.6759685858667309,73,31.0
Full,Medoid 1,30,65,288589.9999999998,13.596028880866426,0.4084794112988944,40,31.0
Full,Medoid 2,215,290,179568.0,13.596028880866426,0.254156642913376,16,31.0
Full,Medoid 3,225,265,284467.99999999994,13.596028880866426,0.40269383106590595,16,31.0
Full,Medoid 4,30,295,159302.00000000003,13.596028880866426,0.22544203983099367,13,31.0
Full,Medoid 5,25,105,175148.00000000006,13.596028880866426,0.24787292621585932,30,31.0
