Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,45,55,545972.0000000002,16.57533539731682,1.1264065921541204,47,
In-Sample,Medoid 1,30,65,360228.0,16.57533539731682,0.741835,40,
In-Sample,Medoid 2,30,85,258464.0,16.57533539731682,0.532049,32,
In-Sample,Medoid 3,30,110,245182.00000000012,16.57533539731682,0.504671,28,
In-Sample,Medoid 4,20,105,198770.00000000003,16.57533539731682,0.409077,30,
In-Sample,Medoid 5,215,285,84882.00000000003,16.57533539731682,0.40226,15,
Out-of-Sample,Best,45,55,-68841.99999999988,6.65625,-0.3123169775403939,26,
Out-of-Sample,Medoid 1,30,65,-71638.00000000017,6.65625,-0.32493574552356375,14,
Out-of-Sample,Medoid 2,30,85,-71841.99999999994,6.65625,-0.32586777260102606,12,
Out-of-Sample,Medoid 3,30,110,-109033.99999999999,6.65625,-0.49466154853141053,11,
Out-of-Sample,Medoid 4,20,105,-10694.000000000087,6.65625,-0.04849763683284577,10,
Out-of-Sample,Medoid 5,215,285,54184.000000000044,6.65625,0.24575554847792316,5,
Full,Best,45,55,477130.00000000023,13.596028880866426,0.6759685858667309,73,31.0
Full,Medoid 1,30,65,288589.9999999998,13.596028880866426,0.4084794112988944,40,31.0
Full,Medoid 2,30,85,186622.00000000003,13.596028880866426,0.2641226991095848,32,31.0
Full,Medoid 3,30,110,136148.00000000006,13.596028880866426,0.19266790947717596,28,31.0
Full,Medoid 4,20,105,188075.99999999994,13.596028880866426,0.2661837166787545,30,31.0
Full,Medoid 5,215,285,139066.00000000012,13.596028880866426,0.19681566126237554,16,31.0
