Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,15,115,358807.75,9.478129713423831,0.6555370399981088,15,
In-Sample,Medoid 1,25,95,314804.74999999965,9.478129713423831,0.574986,29,
In-Sample,Medoid 2,35,100,241861.249999999,9.478129713423831,0.441654,25,
In-Sample,Medoid 3,45,70,221463.24999999895,9.478129713423831,0.404347,41,
In-Sample,Medoid 4,20,285,206988.7500000003,9.478129713423831,0.377919,15,
In-Sample,Medoid 5,170,265,167338.25000000012,9.478129713423831,0.30552,12,
Out-of-Sample,Best,15,115,93913.0,10.542790152403283,0.41931445942380474,10,
Out-of-Sample,Medoid 1,25,95,40964.49999999991,10.542790152403283,0.18285212312279087,10,
Out-of-Sample,Medoid 2,35,100,-19018.49999999933,10.542790152403283,-0.08487603464589073,10,
Out-of-Sample,Medoid 3,45,70,66871.00000000025,10.542790152403283,0.29848866451113026,10,
Out-of-Sample,Medoid 4,20,285,-47040.99999999991,10.542790152403283,-0.20995417217864082,9,
Out-of-Sample,Medoid 5,170,265,61938.5000000003,10.542790152403283,0.276495614466696,4,
Full,Best,15,115,452720.7500000001,9.797677691766362,0.5868946884761234,25,17.0
Full,Medoid 1,25,95,355769.24999999953,9.797677691766362,0.4610629112433962,29,17.0
Full,Medoid 2,35,100,222842.7499999998,9.797677691766362,0.2887181078255234,25,17.0
Full,Medoid 3,45,70,288334.2499999992,9.797677691766362,0.37359155442483744,41,17.0
Full,Medoid 4,20,285,159947.75000000035,9.797677691766362,0.20720842540605913,15,17.0
Full,Medoid 5,170,265,229276.75000000035,9.797677691766362,0.2970760574037198,12,17.0
