Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,22,26,0.774093,149
2,24,32,0.695249,98
3,26,62,0.656252,55
4,200,214,0.602534,35
5,28,180,0.59027,21
6,160,176,0.586154,37
7,170,218,0.534438,19
8,194,246,0.486333,19
9,20,42,0.48492,72
10,32,274,0.476506,18
11,36,118,0.464482,29
12,30,92,0.409889,41
13,36,214,0.390562,17
14,230,242,0.38756,31
15,56,70,0.364824,61
16,18,172,0.318578,25
17,138,234,0.306763,13
18,16,230,0.296022,25
19,144,266,0.29045,13
20,160,190,0.2476,25
21,196,198,0.236238,71
22,222,264,0.225607,19
23,134,142,0.204971,55
24,14,136,0.202774,39
25,182,268,0.165442,14
26,180,196,0.163277,39
27,40,144,0.162281,25
28,158,290,0.12015,12
29,274,280,0.102035,43
30,260,286,0.100207,23
31,68,268,0.070467,14
32,108,270,0.063329,14
33,66,196,0.046392,15
34,128,130,0.014887,93
35,88,90,0.002958,118
36,128,202,-0.00187,17
37,220,286,-0.004494,19
38,102,186,-0.03687,17
39,64,114,-0.063291,29
40,130,150,-0.086557,31
41,108,294,-0.088806,12
42,76,90,-0.188192,51
43,114,160,-0.195159,23
44,92,98,-0.22701,69
45,74,154,-0.25179,21
46,90,234,-0.256832,15
47,100,118,-0.304972,41
48,98,148,-0.409645,21
49,88,118,-0.807036,29
