Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,18,36,0.641362,88
2,48,84,0.451437,39
3,20,26,0.443235,136
4,182,200,0.233387,28
5,164,218,0.218173,16
6,22,56,0.164625,57
7,168,246,0.13739,12
8,34,56,0.119279,55
9,26,90,0.111316,39
10,138,244,0.096308,14
11,68,284,0.093788,12
12,112,244,0.075923,12
13,182,184,0.066182,98
14,154,196,0.056766,18
15,184,190,0.034449,60
16,236,264,0.011347,12
17,270,288,0.009418,14
18,260,266,-0.007182,30
19,74,92,-0.010367,43
20,62,108,-0.023656,29
21,42,74,-0.038332,47
22,50,56,-0.064062,83
23,22,126,-0.067234,33
24,32,288,-0.091872,12
25,106,224,-0.127088,14
26,26,232,-0.130683,18
27,18,202,-0.191216,26
28,24,174,-0.21105,28
29,80,260,-0.218556,10
30,32,142,-0.240677,27
31,56,60,-0.248475,117
32,44,260,-0.275725,14
33,104,204,-0.292456,14
34,202,252,-0.293288,12
35,50,158,-0.30773,22
36,210,234,-0.315089,12
37,218,224,-0.337995,34
38,68,126,-0.357148,25
39,56,226,-0.394951,14
40,86,148,-0.407519,22
41,130,180,-0.408628,20
42,106,164,-0.460269,20
43,70,186,-0.478719,16
44,120,126,-0.525252,58
45,124,126,-0.572929,116
46,116,138,-0.623933,30
47,146,154,-0.653227,46
