Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,120,130,-375557.5,87.61506707946336,-0.724737339193093,29,
In-Sample,Medoid 1,115,140,-305854.5,87.61506707946336,0.398823,36,
In-Sample,Medoid 2,140,245,49930.5,87.61506707946336,0.240393,12,
In-Sample,Medoid 3,150,270,61923.5,87.61506707946336,0.172275,13,
In-Sample,Medoid 4,80,245,-156353.5,87.61506707946336,0.087663,12,
In-Sample,Medoid 5,135,225,107980.5,87.61506707946336,0.078091,12,
Out-of-Sample,Best,120,130,134001.0,57.06009615384615,0.6601073945789725,15,
Out-of-Sample,Medoid 1,115,140,125242.0,57.06009615384615,0.6155571319306218,7,
Out-of-Sample,Medoid 2,140,245,154736.0,57.06009615384615,0.7625104725203982,3,
Out-of-Sample,Medoid 3,150,270,160002.0,57.06009615384615,0.7883597423940825,1,
Out-of-Sample,Medoid 4,80,245,161923.0,57.06009615384615,0.7971868923635261,1,
Out-of-Sample,Medoid 5,135,225,131797.0,57.06009615384615,0.6491859294472399,3,
Full,Best,120,130,-241556.5,78.4375451263538,-0.3344519930671176,44,195.0
Full,Medoid 1,115,140,-180612.5,78.4375451263538,-0.24995457746635266,28,195.0
Full,Medoid 2,140,245,204666.5,78.4375451263538,0.28338581794717294,16,195.0
Full,Medoid 3,150,270,221925.5,78.4375451263538,0.307338586328554,5,195.0
Full,Medoid 4,80,245,5569.5,78.4375451263538,0.007711565210740003,12,195.0
Full,Medoid 5,135,225,239777.5,78.4375451263538,0.3322732945987436,16,195.0
