Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,120,130,280070.0,11.166150670794634,0.5423029185554994,43,
In-Sample,Medoid 1,115,140,198410.0,11.166150670794634,0.383812,36,
In-Sample,Medoid 2,150,270,86710.0,11.166150670794634,0.16719,13,
In-Sample,Medoid 3,145,240,81430.0,11.166150670794634,0.157476,12,
In-Sample,Medoid 4,100,155,77070.0,11.166150670794634,0.149048,20,
In-Sample,Medoid 5,185,225,25850.0,11.166150670794634,0.049989,22,
Out-of-Sample,Best,120,130,427660.0,8.379807692307692,1.5729161148027553,15,
Out-of-Sample,Medoid 1,115,140,571180.0,8.379807692307692,2.111041510686048,9,
Out-of-Sample,Medoid 2,150,270,405900.0,8.379807692307692,1.4926978532793826,4,
Out-of-Sample,Medoid 3,145,240,422760.0,8.379807692307692,1.555287440938894,4,
Out-of-Sample,Medoid 4,100,155,537540.0,8.379807692307692,1.9839029901508023,5,
Out-of-Sample,Medoid 5,185,225,404020.0,8.379807692307692,1.4858720033398052,6,
Full,Best,120,130,707730.0,10.329241877256317,0.8931138251032691,58,18.0
Full,Medoid 1,115,140,769590.0,10.329241877256317,0.9714387974010663,36,18.0
Full,Medoid 2,150,270,492610.0,10.329241877256317,0.6209123012585869,13,18.0
Full,Medoid 3,145,240,504190.0,10.329241877256317,0.6355752145361664,12,18.0
Full,Medoid 4,100,155,614610.0,10.329241877256317,0.7751553480991561,20,18.0
Full,Medoid 5,185,225,429870.0,10.329241877256317,0.5417921296820807,22,18.0
