Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,20,48,0.637271,66
2,16,26,0.629672,124
3,250,284,0.327626,22
4,18,164,0.259092,36
5,22,70,0.258843,52
6,130,182,0.188327,22
7,30,224,0.181814,22
8,30,158,0.177891,28
9,160,168,0.16712,54
10,146,192,0.121342,20
11,30,258,0.086489,20
12,48,68,0.064632,58
13,84,274,0.046071,12
14,30,34,0.044114,146
15,262,290,0.037149,20
16,146,152,0.027694,76
17,30,32,0.024743,200
18,144,266,0.021607,10
19,88,182,0.016647,14
20,102,214,0.014924,14
21,276,280,0.012358,52
22,130,148,0.009108,50
23,164,214,0.004456,18
24,116,158,-0.002803,34
25,26,36,-0.014487,100
26,144,146,-0.017762,112
27,124,290,-0.041818,10
28,28,104,-0.042242,40
29,60,168,-0.043571,18
30,228,270,-0.056507,16
31,114,254,-0.07512,10
32,20,200,-0.081299,30
33,22,284,-0.104558,26
34,170,264,-0.106429,16
35,60,256,-0.121127,14
36,56,206,-0.190295,16
37,202,216,-0.221937,30
38,58,110,-0.25146,34
39,182,236,-0.263363,20
40,98,138,-0.305111,34
41,190,286,-0.308426,14
42,148,234,-0.313801,18
43,82,84,-0.321434,121
44,222,226,-0.403422,56
45,58,78,-0.440821,54
46,210,242,-0.487258,22
47,102,120,-0.491514,44
48,66,128,-0.554793,32
49,78,84,-0.650611,75
