Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,20,45,359829.0000000006,11.94218200100553,0.6965700413266377,38,
In-Sample,Medoid 1,25,50,260139.00000000058,11.94218200100553,0.503347,60,
In-Sample,Medoid 2,160,195,189319.0000000007,11.94218200100553,0.317264,22,
In-Sample,Medoid 3,120,180,149991.00000000015,11.94218200100553,0.247381,18,
In-Sample,Medoid 4,150,185,161960.00000000017,11.94218200100553,0.222655,26,
In-Sample,Medoid 5,25,165,62513.99999999966,11.94218200100553,0.220932,32,
Out-of-Sample,Best,20,45,-261381.99999999988,14.015240328253224,-1.2198805577298013,26,
Out-of-Sample,Medoid 1,25,50,-173420.99999999933,14.015240328253224,-0.808424005276824,24,
Out-of-Sample,Medoid 2,160,195,129036.99999999958,14.015240328253224,0.6010907805700441,11,
Out-of-Sample,Medoid 3,120,180,211782.9999999997,14.015240328253224,0.987790232844297,7,
Out-of-Sample,Medoid 4,150,185,48938.99999999999,14.015240328253224,0.22782732363592448,15,
Out-of-Sample,Medoid 5,25,165,-82006.00000000036,14.015240328253224,-0.3817776799097556,14,
Full,Best,20,45,98447.00000000064,12.56439127375088,0.13450997467449455,64,24.0
Full,Medoid 1,25,50,86718.00000000122,12.56439127375088,0.1184986935342556,60,24.0
Full,Medoid 2,160,195,318356.0000000003,12.56439127375088,0.4352050672748726,24,24.0
Full,Medoid 3,120,180,361773.9999999998,12.56439127375088,0.4946088545323383,20,24.0
Full,Medoid 4,150,185,210899.00000000015,12.56439127375088,0.28825080909340595,28,24.0
Full,Medoid 5,25,165,-19492.00000000078,12.56439127375088,-0.026633290051929933,33,24.0
