Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,38,48,0.715025,74
2,12,250,0.529334,28
3,42,44,0.501653,146
4,32,62,0.496571,56
5,42,286,0.479644,14
6,38,42,0.443598,111
7,24,90,0.432661,36
8,42,110,0.403676,26
9,24,270,0.377596,20
10,142,180,0.332106,23
11,38,186,0.309709,20
12,176,184,0.2977,47
13,56,258,0.290515,16
14,198,258,0.288593,16
15,170,210,0.283678,19
16,84,220,0.270899,15
17,20,208,0.26667,28
18,20,44,0.253468,74
19,122,192,0.238054,19
20,70,94,0.21475,41
21,172,278,0.197169,17
22,52,136,0.193269,22
23,66,188,0.174641,18
24,40,228,0.169752,18
25,64,80,0.157206,53
26,126,246,0.119421,15
27,90,260,0.112957,13
28,242,246,0.101659,58
29,164,232,0.100833,17
30,124,138,0.084362,41
31,92,288,0.064319,14
32,82,176,0.044917,20
33,160,254,0.036583,19
34,230,256,0.026414,22
35,22,154,0.017628,28
36,150,154,0.000941,67
37,184,198,-0.01924,29
38,114,148,-0.04964,25
39,206,292,-0.073814,15
40,68,138,-0.090768,22
41,270,280,-0.108261,37
42,140,286,-0.112665,13
43,252,292,-0.127192,21
44,280,284,-0.170238,57
45,98,154,-0.206305,21
46,106,110,-0.231523,84
47,92,126,-0.342294,26
48,108,116,-0.361351,56
