Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,35,50,438336.00000000023,4.183694011071967,0.7504881872277468,48,
In-Sample,Medoid 1,35,50,438336.00000000023,4.183694011071967,0.750488,68,
In-Sample,Medoid 2,20,55,287213.9999999999,4.183694011071967,0.491407,58,
In-Sample,Medoid 3,105,215,319522.00000000006,4.183694011071967,0.428813,17,
In-Sample,Medoid 4,40,290,314258.0,4.183694011071967,0.426069,17,
In-Sample,Medoid 5,155,180,206902.0,4.183694011071967,0.34146,27,
Out-of-Sample,Best,35,50,-79724.0,2.8438967136150235,-0.3002880151447795,20,
Out-of-Sample,Medoid 1,35,50,-79724.0,2.8438967136150235,-0.3002880151447795,20,
Out-of-Sample,Medoid 2,20,55,-17958.000000000087,2.8438967136150235,-0.06763775259782137,19,
Out-of-Sample,Medoid 3,105,215,20016.000000000044,2.8438967136150235,0.07538454817237523,5,
Out-of-Sample,Medoid 4,40,290,-24696.0,2.8438967136150235,-0.09301083433597263,5,
Out-of-Sample,Medoid 5,155,180,23343.99999999987,2.8438967136150235,0.08792184231992815,9,
Full,Best,35,50,358612.00000000023,3.7816132441000354,0.4218449432176512,68,7.0
Full,Medoid 1,35,50,358612.00000000023,3.7816132441000354,0.4218449432176512,68,7.0
Full,Medoid 2,20,55,269255.9999999999,3.7816132441000354,0.31668563257090376,58,7.0
Full,Medoid 3,105,215,339538.0000000001,3.7816132441000354,0.399384989020419,17,7.0
Full,Medoid 4,40,290,289562.00000000006,3.7816132441000354,0.34057694845699604,15,7.0
Full,Medoid 5,155,180,230245.99999999983,3.7816132441000354,0.2707874722261857,28,7.0
