period_label,date,trading_days,Best_sharpe,Best_return,Medoid_1_sharpe,Medoid_1_return,Medoid_2_sharpe,Medoid_2_return,Medoid_3_sharpe,Medoid_3_return,Avg_Medoid_sharpe,Avg_Medoid_return,Best_sharpe_rounded,Avg_Medoid_sharpe_rounded
2021-09,2021-09-15,36,4.999936012657947,67564.99999999997,4.999936012657947,67564.99999999997,4.999936012657947,67564.99999999997,4.999936012657947,67564.99999999997,4.999936012657947,67564.99999999997,5.0,5.0
2021-11,2021-11-15,43,0.11015417585625485,1434.9999999999718,0.23510799624821294,3064.9999999999836,0.23510799624821294,3064.9999999999836,0.23510799624821294,3064.9999999999836,0.2351079962482129,3064.9999999999836,0.11,0.24
2022-01,2022-01-15,39,-2.0133521965780687,-18650.000000000033,2.489998555285806,22970.00000000002,2.489998555285806,22970.00000000002,2.489998555285806,22970.00000000002,2.489998555285806,22970.00000000002,-2.01,2.49
2022-03,2022-03-15,43,3.048263017918846,50512.000000000015,3.8981294179745634,63840.000000000015,3.8981294179745634,63840.000000000015,3.8981294179745634,63840.000000000015,3.898129417974564,63840.00000000002,3.05,3.9
2022-05,2022-05-15,42,-3.057230270735395,-39482.99999999997,-2.8380164038438984,-36735.0,-2.8380164038438984,-36735.0,-2.8380164038438984,-36735.0,-2.8380164038438984,-36735.0,-3.06,-2.84
2022-07,2022-07-15,43,-2.8505643098847147,-36684.0,2.510821909556468,32420.000000000004,-5.7922818478515525,-71092.0,-6.453644999371584,-78068.00000000001,-3.2450349792222233,-38913.333333333336,-2.85,-3.25
2022-09,2022-09-15,42,-2.202822380956817,-28619.00000000001,-2.0914153221435225,-27179.00000000001,-0.7727459738702143,-10122.999999999993,4.264336259432219,53943.00000000004,0.46672498780616073,5547.000000000012,-2.2,0.47
2022-11,2022-11-15,42,-1.5904341826780768,-18664.000000000022,-2.2376964881634094,-26120.000000000007,-2.2376964881634094,-26120.000000000007,-2.2376964881634094,-26120.000000000007,-2.2376964881634094,-26120.00000000001,-1.59,-2.24
2023-01,2023-01-15,39,-1.0828934738358138,-9756.000000000113,0.09080999228554966,820.0000000000041,0.09080999228554966,820.0000000000041,0.09080999228554966,820.0000000000041,0.09080999228554966,820.0000000000041,-1.08,0.09
2023-03,2023-03-15,42,-0.4999761421135152,-6055.999999999999,0.9198993032026707,11139.999999999969,0.9198993032026707,11139.999999999969,0.9198993032026707,11139.999999999969,0.9198993032026707,11139.999999999969,-0.5,0.92
2023-05,2023-05-15,43,-0.24130980270765634,-2896.9999999999645,-0.5551568165441397,-6664.999999999998,-1.3823361324125516,-16535.000000000007,-3.3808059839400686,-39693.00000000008,-1.7727663109655865,-20964.33333333336,-0.24,-1.77
2023-07,2023-07-15,43,-0.28165431713743133,-3064.000000000041,-0.7231322992645658,-7851.999999999957,-1.6375562479473957,-17720.00000000004,-2.0988264680978608,-22648.00000000003,-1.4865050051032742,-16073.333333333343,-0.28,-1.49
2023-09,2023-09-15,42,-0.6593336406769881,-7456.999999999987,-2.221210468987229,-24915.000000000022,-2.221210468987229,-24915.000000000022,-2.221210468987229,-24915.000000000022,-2.221210468987229,-24915.00000000002,-0.66,-2.22
2023-11,2023-11-15,41,0.7342364326443248,6765.000000000006,-2.2629826754706817,-20646.999999999938,-2.2629826754706817,-20646.999999999938,-4.1897089620223555,-37376.99999999994,-2.9052247709879064,-26223.66666666661,0.73,-2.91
2024-01,2024-01-15,41,4.150563736730981,55678.00000000006,-1.6929285502309432,-23394.00000000008,-1.098908237715785,-15203.999999999984,-1.6026802926182575,-22134.000000000073,-1.4648390268549953,-20244.000000000047,4.15,-1.46
2024-03,2024-03-15,42,-2.1075149050110107,-24020.99999999994,-4.291665311954536,-47596.999999999985,-4.2494532223683645,-47176.99999999997,-4.2444147958988605,-47106.999999999935,-4.261844443407254,-47293.66666666663,-2.11,-4.26
2024-05,2024-05-15,41,1.2946784886291052,15579.999999999993,1.2946784886291052,15579.999999999993,1.2946784886291052,15579.999999999993,1.2946784886291052,15579.999999999993,1.2946784886291052,15579.999999999993,1.29,1.29
2024-07,2024-07-15,44,0.7923163240201065,7445.000000000026,0.7923163240201065,7445.000000000026,0.7923163240201065,7445.000000000026,0.7923163240201065,7445.000000000026,0.7923163240201067,7445.000000000026,0.79,0.79
2024-09,2024-09-15,43,-3.216017331040707,-32448.00000000001,0.17777380896688574,1829.9999999999645,0.17777380896688574,1829.9999999999645,0.17777380896688574,1829.9999999999645,0.17777380896688574,1829.9999999999645,-3.22,0.18
2024-11,2024-11-15,41,1.1504977548988367,10044.999999999925,2.1027633750220125,18205.000000000044,2.1027633750220125,18205.000000000044,2.1027633750220125,18205.000000000044,2.1027633750220125,18205.000000000044,1.15,2.1
