Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,35,45,440887.0000000001,9.386480908152734,0.8468309746750796,64,
In-Sample,Medoid 1,35,285,112439.00000000012,9.386480908152734,0.466077,13,
In-Sample,Medoid 2,25,145,258052.99999999994,9.386480908152734,0.445793,24,
In-Sample,Medoid 3,25,180,225867.00000000003,9.386480908152734,0.383973,20,
In-Sample,Medoid 4,30,70,162428.99999999988,9.386480908152734,0.311591,44,
In-Sample,Medoid 5,30,215,141321.00000000017,9.386480908152734,0.262999,18,
Out-of-Sample,Best,35,45,-12774.000000000124,6.078125,-0.05414114785341448,25,
Out-of-Sample,Medoid 1,35,285,-30307.99999999997,6.078125,-0.12845840019563098,5,
Out-of-Sample,Medoid 2,25,145,-67354.0000000001,6.078125,-0.2855172175829336,9,
Out-of-Sample,Medoid 3,25,180,-67914.00000000004,6.078125,-0.2878909535914304,9,
Out-of-Sample,Medoid 4,30,70,23981.999999999985,6.078125,0.10166113615807769,13,
Out-of-Sample,Medoid 5,30,215,-42916.000000000015,6.078125,-0.18192107833076027,7,
Full,Best,35,45,428113.0,8.392779783393502,0.5656025592738562,89,15.0
Full,Medoid 1,35,285,82131.00000000012,8.392779783393502,0.1084399083657107,13,15.0
Full,Medoid 2,25,145,190698.99999999983,8.392779783393502,0.2518225620276273,23,15.0
Full,Medoid 3,25,180,157952.99999999997,8.392779783393502,0.20856508951554803,19,15.0
Full,Medoid 4,30,70,186410.99999999985,8.392779783393502,0.2461563931596017,44,15.0
Full,Medoid 5,30,215,98405.00000000007,8.392779783393502,0.12992563396529377,17,15.0
