Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,38,48,0.719627,72
2,32,62,0.666374,48
3,22,256,0.628104,13
4,44,250,0.525101,13
5,72,156,0.508397,15
6,92,122,0.506812,27
7,28,288,0.454605,15
8,110,114,0.414661,52
9,34,152,0.388725,25
10,28,198,0.379937,17
11,24,126,0.364283,31
12,34,36,0.355929,173
13,14,212,0.352691,23
14,52,182,0.350335,15
15,54,56,0.344075,131
16,98,114,0.326595,33
17,42,84,0.29147,37
18,32,38,0.286394,101
19,56,216,0.259861,13
20,58,118,0.192062,25
21,84,180,0.174394,15
22,84,230,0.159332,13
23,114,140,0.143093,26
24,64,74,0.090696,63
25,14,50,0.065155,67
26,12,94,0.038031,47
27,212,236,0.014308,24
28,68,278,0.000155,11
29,132,158,-0.007769,22
30,112,184,-0.041496,14
31,168,170,-0.041672,70
32,180,202,-0.061972,24
33,216,224,-0.09326,40
34,208,252,-0.144045,18
35,90,274,-0.161526,11
36,166,226,-0.166518,13
37,256,284,-0.193306,21
38,258,262,-0.241729,55
39,242,250,-0.247645,34
40,160,168,-0.27022,38
41,116,224,-0.30278,12
42,110,280,-0.324204,11
43,164,280,-0.371537,11
44,224,280,-0.384807,19
45,146,216,-0.394863,15
46,194,286,-0.410981,15
47,154,184,-0.443497,20
48,190,236,-0.499014,19
