Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,22,32,0.181254,111
2,214,230,0.170447,30
3,12,244,0.1334,26
4,20,154,0.117637,28
5,42,146,0.090981,20
6,196,202,0.069046,53
7,14,58,0.055129,67
8,16,138,0.040039,38
9,108,164,0.008606,16
10,90,210,0.007076,12
11,38,176,-0.008815,16
12,86,264,-0.032404,12
13,28,64,-0.035246,50
14,212,230,-0.035455,26
15,16,284,-0.038205,21
16,26,38,-0.038959,93
17,116,146,-0.050714,28
18,184,228,-0.052689,14
19,66,122,-0.061485,28
20,50,230,-0.073337,12
21,36,38,-0.074184,179
22,28,202,-0.097736,18
23,28,96,-0.102564,38
24,36,276,-0.121874,17
25,148,150,-0.124299,78
26,112,280,-0.126415,11
27,134,234,-0.129329,10
28,118,190,-0.134723,14
29,58,274,-0.137531,15
30,56,98,-0.160272,34
31,172,194,-0.171463,26
32,158,272,-0.180104,11
33,68,182,-0.198251,14
34,152,160,-0.203507,44
35,190,252,-0.207546,10
36,130,272,-0.235665,13
37,88,90,-0.24166,110
38,102,114,-0.251782,42
39,184,286,-0.254847,11
40,150,190,-0.261986,18
41,80,142,-0.300874,26
42,248,258,-0.354462,32
43,74,84,-0.424548,62
44,212,272,-0.516492,13
45,16,22,-0.524738,143
46,256,290,-0.585892,17
47,226,278,-0.676343,15
48,260,276,-0.719797,23
49,270,272,-0.761087,65
