Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,20,25,241704.99999999997,3.2267471091000504,0.36240480445611156,101,
In-Sample,Medoid 1,25,155,101080.00000000022,3.2267471091000504,0.151551,26,
In-Sample,Medoid 2,20,130,96694.9999999997,3.2267471091000504,0.144978,32,
In-Sample,Medoid 3,15,180,61709.999999999694,3.2267471091000504,0.092512,28,
In-Sample,Medoid 4,115,155,31900.000000000276,3.2267471091000504,0.088762,22,
In-Sample,Medoid 5,15,270,137044.99999999977,3.2267471091000504,0.081043,24,
Out-of-Sample,Best,20,25,-18769.99999999981,1.8206330597889802,-0.060061641515984636,42,
Out-of-Sample,Medoid 1,25,155,-144310.00000000026,1.8206330597889802,-0.46193246816690864,10,
Out-of-Sample,Medoid 2,20,130,-288930.0,1.8206330597889802,-0.9259486470348369,14,
Out-of-Sample,Medoid 3,15,180,-99144.99999999993,1.8206330597889802,-0.317301149939388,10,
Out-of-Sample,Medoid 4,115,155,117979.99999999977,1.8206330597889802,0.37764364344293283,10,
Out-of-Sample,Medoid 5,15,270,-86445.00000000029,1.8206330597889802,-0.27662545177978975,12,
Full,Best,20,25,222935.0000000001,2.8047149894440535,0.22744289400893689,143,6.0
Full,Medoid 1,25,155,-43230.00000000007,2.8047149894440535,-0.04410388646192127,26,6.0
Full,Medoid 2,20,130,-192235.0000000003,2.8047149894440535,-0.19613122412696188,32,6.0
Full,Medoid 3,15,180,-37435.00000000027,2.8047149894440535,-0.038190029244739264,28,6.0
Full,Medoid 4,115,155,149880.00000000003,2.8047149894440535,0.152925927104607,23,6.0
Full,Medoid 5,15,270,50599.99999999942,2.8047149894440535,0.05162010506115437,22,6.0
