Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,20,25,241704.99999999997,3.2267471091000504,0.36240480445611156,101,
In-Sample,Medoid 1,30,140,111455.00000000017,3.2267471091000504,0.167102,26,
In-Sample,Medoid 2,10,240,77589.99999999949,3.2267471091000504,0.116313,26,
In-Sample,Medoid 3,115,155,31900.000000000276,3.2267471091000504,0.088762,22,
In-Sample,Medoid 4,35,65,49975.00000000029,3.2267471091000504,0.074932,54,
In-Sample,Medoid 5,20,170,19154.99999999997,3.2267471091000504,0.028714,24,
Out-of-Sample,Best,20,25,-18769.99999999981,1.8206330597889802,-0.060061641515984636,42,
Out-of-Sample,Medoid 1,30,140,-208650.00000000023,1.8206330597889802,-0.6682934329634311,12,
Out-of-Sample,Medoid 2,10,240,-97714.99999999996,1.8206330597889802,-0.3126883069499769,12,
Out-of-Sample,Medoid 3,115,155,117979.99999999977,1.8206330597889802,0.37764364344293283,10,
Out-of-Sample,Medoid 4,35,65,-183339.99999999994,1.8206330597889802,-0.586991810180712,24,
Out-of-Sample,Medoid 5,20,170,-81485.00000000041,1.8206330597889802,-0.2607611093081593,8,
Full,Best,20,25,222935.0000000001,2.8047149894440535,0.22744289400893689,143,6.0
Full,Medoid 1,30,140,-97195.00000000009,2.8047149894440535,-0.09916436672385506,26,6.0
Full,Medoid 2,10,240,-20125.00000000054,2.8047149894440535,-0.02052934779456425,26,6.0
Full,Medoid 3,115,155,149880.00000000003,2.8047149894440535,0.152925927104607,23,6.0
Full,Medoid 4,35,65,-133364.99999999965,2.8047149894440535,-0.1360706548883532,54,6.0
Full,Medoid 5,20,170,-62330.00000000046,2.8047149894440535,-0.06358534401715223,24,6.0
