Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,190,224,0.697779,14
2,226,292,0.623314,13
3,202,240,0.606949,14
4,270,292,0.597643,13
5,176,212,0.594224,14
6,20,60,0.587123,46
7,40,46,0.580182,76
8,120,130,0.572646,32
9,282,286,0.546115,29
10,152,212,0.498678,12
11,16,272,0.496997,17
12,210,214,0.488955,44
13,14,208,0.473334,16
14,224,272,0.450854,13
15,134,198,0.445311,10
16,24,190,0.424749,14
17,240,274,0.415128,13
18,138,166,0.405245,16
19,24,246,0.403721,16
20,50,236,0.378142,10
21,42,82,0.364258,28
22,22,80,0.360348,42
23,134,138,0.351587,46
24,250,258,0.344459,26
25,42,276,0.335703,11
26,12,132,0.327778,32
27,38,66,0.315087,44
28,32,132,0.31275,18
29,24,52,0.306859,56
30,44,106,0.296766,20
31,86,134,0.296046,16
32,216,262,0.295225,12
33,104,120,0.273687,24
34,48,164,0.27118,14
35,44,200,0.264141,12
36,126,180,0.259086,12
37,32,36,0.252991,113
38,104,152,0.2369,16
39,62,134,0.228241,14
40,66,186,0.224195,10
41,66,280,0.209086,11
42,66,98,0.176562,24
43,26,40,0.149681,72
44,78,88,0.034375,42
45,70,98,0.023456,26
46,14,34,-0.024474,87
47,12,24,-0.044576,123
