Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,195,220,518983.0,5.111111111111111,0.8130814970319131,12,
In-Sample,Medoid 1,195,230,490577.0,5.111111111111111,0.768495,14,
In-Sample,Medoid 2,200,235,406791.0,5.111111111111111,0.636998,14,
In-Sample,Medoid 3,175,215,354005.0,5.111111111111111,0.554224,12,
In-Sample,Medoid 4,165,205,340293.0,5.111111111111111,0.532736,12,
In-Sample,Medoid 5,220,240,337851.0,5.111111111111111,0.528902,18,
Out-of-Sample,Best,195,220,56257.5,2.4525205158264947,0.1888786875373729,4,
Out-of-Sample,Medoid 1,195,230,-11217.5,2.4525205158264947,-0.03765852257501356,4,
Out-of-Sample,Medoid 2,200,235,-542.5,2.4525205158264947,-0.0018212606496927218,4,
Out-of-Sample,Medoid 3,175,215,17220.5,2.4525205158264947,0.057812265727352596,4,
Out-of-Sample,Medoid 4,165,205,52820.5,2.4525205158264947,0.17733995956080487,4,
Out-of-Sample,Medoid 5,220,240,-3943.5,2.4525205158264947,-0.013239136979085114,4,
Full,Best,195,220,575240.5,4.313159746657283,0.6140316280038611,16,12.0
Full,Medoid 1,195,230,479359.5,4.313159746657283,0.5115764290659761,14,12.0
Full,Medoid 2,200,235,406248.5,4.313159746657283,0.4334848774127101,14,12.0
Full,Medoid 3,175,215,371225.5,4.313159746657283,0.3960855498820628,12,12.0
Full,Medoid 4,165,205,393113.5,4.313159746657283,0.4194592244862458,12,12.0
Full,Medoid 5,220,240,333907.5,4.313159746657283,0.3562479741647863,18,12.0
