Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,200,220,388437.4999999999,5.553663570691435,0.6734295026252599,21,
In-Sample,Medoid 1,145,265,255087.50000000032,5.553663570691435,0.441963,11,
In-Sample,Medoid 2,50,95,231012.50000000012,5.553663570691435,0.400219,30,
In-Sample,Medoid 3,140,205,227812.5000000004,5.553663570691435,0.394739,21,
In-Sample,Medoid 4,30,105,205762.49999999994,5.553663570691435,0.356434,30,
In-Sample,Medoid 5,35,140,182612.50000000047,5.553663570691435,0.316329,30,
Out-of-Sample,Best,200,220,59600.00000000002,5.09375,0.2369096553413392,6,
Out-of-Sample,Medoid 1,145,265,56199.99999999996,5.09375,0.22338243149666856,2,
Out-of-Sample,Medoid 2,50,95,-24250.000000000062,5.09375,-0.0964130206294419,12,
Out-of-Sample,Medoid 3,140,205,-129525.0000000001,5.09375,-0.5150013770076438,8,
Out-of-Sample,Medoid 4,30,105,-55500.00000000002,5.09375,-0.22061436289240177,10,
Out-of-Sample,Medoid 5,35,140,-129699.99999999964,5.09375,-0.5157005106812775,12,
Full,Best,200,220,448037.4999999999,5.415523465703971,0.5409041614540443,27,12.0
Full,Medoid 1,145,265,311287.5000000003,5.415523465703971,0.3756603971586989,11,12.0
Full,Medoid 2,50,95,206762.50000000006,5.415523465703971,0.24950510063745152,30,12.0
Full,Medoid 3,140,205,98287.50000000029,5.415523465703971,0.11859267463237612,21,12.0
Full,Medoid 4,30,105,150262.49999999988,5.415523465703971,0.18129374764353964,30,12.0
Full,Medoid 5,35,140,52912.50000000076,5.415523465703971,0.06383477965899294,30,12.0
