Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,200,220,388437.4999999999,5.553663570691435,0.6734295026252599,21,
In-Sample,Medoid 1,45,95,245237.49999999968,5.553663570691435,0.424882,30,
In-Sample,Medoid 2,140,205,227812.5000000004,5.553663570691435,0.394739,21,
In-Sample,Medoid 3,35,100,214912.5,5.553663570691435,0.372269,32,
In-Sample,Medoid 4,35,135,200012.5,5.553663570691435,0.346489,30,
In-Sample,Medoid 5,35,65,191862.50000000058,5.553663570691435,0.332357,47,
Out-of-Sample,Best,200,220,59600.00000000002,5.09375,0.2369096553413392,6,
Out-of-Sample,Medoid 1,45,95,-144899.99999999994,5.09375,-0.5763244544744712,12,
Out-of-Sample,Medoid 2,140,205,-129525.0000000001,5.09375,-0.5150013770076438,8,
Out-of-Sample,Medoid 3,35,100,-125174.99999999997,5.09375,-0.49776959414471805,12,
Out-of-Sample,Medoid 4,35,135,-124099.99999999949,5.09375,-0.49342616327028765,12,
Out-of-Sample,Medoid 5,35,65,-100624.99999999997,5.09375,-0.39999164594156633,12,
Full,Best,200,220,448037.4999999999,5.415523465703971,0.5409041614540443,27,12.0
Full,Medoid 1,45,95,100337.49999999971,5.415523465703971,0.12105968703677975,30,12.0
Full,Medoid 2,140,205,98287.50000000029,5.415523465703971,0.11859267463237612,21,12.0
Full,Medoid 3,35,100,89737.49999999994,5.415523465703971,0.10826002606279296,32,12.0
Full,Medoid 4,35,135,75912.50000000055,5.415523465703971,0.09158503347969019,30,12.0
Full,Medoid 5,35,65,91237.50000000058,5.415523465703971,0.11007041724426496,47,12.0
