Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,170,242,0.428526,12
2,198,208,0.40226,38
3,192,220,0.382079,20
4,154,272,0.297503,11
5,200,202,0.246977,82
6,16,74,0.242346,46
7,198,246,0.232908,16
8,90,126,0.228821,24
9,122,280,0.176602,13
10,148,228,0.116082,12
11,112,276,0.076122,13
12,22,38,0.05409,84
13,176,184,0.050637,46
14,26,76,0.017844,42
15,22,54,0.016555,66
16,112,240,0.007098,12
17,210,268,-0.008892,11
18,28,34,-0.017006,122
19,162,196,-0.023832,18
20,108,118,-0.025248,42
21,66,288,-0.035897,15
22,34,36,-0.055396,184
23,232,282,-0.055554,13
24,60,252,-0.061607,14
25,118,206,-0.066912,12
26,234,248,-0.088581,26
27,46,210,-0.102636,14
28,66,194,-0.102862,12
29,112,148,-0.103805,20
30,54,148,-0.116572,22
31,42,58,-0.175098,58
32,26,134,-0.188296,32
33,54,274,-0.190504,15
34,128,176,-0.200029,16
35,92,166,-0.211061,16
36,24,218,-0.222515,16
37,78,230,-0.231457,12
38,144,152,-0.243715,44
39,144,146,-0.259855,86
40,246,250,-0.266203,42
41,46,98,-0.272842,34
42,70,124,-0.312782,24
43,24,276,-0.329938,21
44,52,88,-0.353553,32
45,80,88,-0.38655,62
46,20,142,-0.392607,36
47,268,286,-0.430535,21
