Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,160,265,413680.0,1.9232736572890026,0.557279487192786,6,
In-Sample,Medoid 1,165,255,335776.0,1.9232736572890026,0.452243,12,
In-Sample,Medoid 2,180,230,301272.0,1.9232736572890026,0.405734,12,
In-Sample,Medoid 3,190,230,285275.0,1.9232736572890026,0.384178,18,
In-Sample,Medoid 4,135,280,134322.0,1.9232736572890026,0.180851,12,
In-Sample,Medoid 5,140,240,120272.0,1.9232736572890026,0.161933,12,
Out-of-Sample,Best,160,265,46786.0,1.6483909415971394,0.14431999159169104,4,
Out-of-Sample,Medoid 1,165,255,-20564.0,1.6483909415971394,-0.06342994742596707,4,
Out-of-Sample,Medoid 2,180,230,-79764.0,1.6483909415971394,-0.24606568256243844,4,
Out-of-Sample,Medoid 3,190,230,-76337.0,1.6483909415971394,-0.23549334535084104,4,
Out-of-Sample,Medoid 4,135,280,-6264.0,1.6483909415971394,-0.01932146204675322,4,
Out-of-Sample,Medoid 5,140,240,-91714.0,1.6483909415971394,-0.2829439101941853,4,
Full,Best,160,265,460466.0,1.8407301360057267,0.4317876085325059,10,3.0
Full,Medoid 1,165,255,315212.0,1.8407301360057267,0.2955222829808161,12,3.0
Full,Medoid 2,180,230,221508.0,1.8407301360057267,0.20765294497939982,12,3.0
Full,Medoid 3,190,230,208938.0,1.8407301360057267,0.19586825889695048,18,3.0
Full,Medoid 4,135,280,128058.0,1.8407301360057267,0.12004186579931703,12,3.0
Full,Medoid 5,140,240,28558.0,1.8407301360057267,0.026769822268791616,12,3.0
