Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,115,245,186928.0,12.948495665476798,0.33858665186404885,8,
In-Sample,Medoid 1,200,225,136628.0,12.948495665476798,0.247456,14,
In-Sample,Medoid 2,130,205,119012.0,12.948495665476798,0.215533,15,
In-Sample,Medoid 3,175,195,116432.0,12.948495665476798,0.210866,21,
In-Sample,Medoid 4,105,250,88844.0,12.948495665476798,0.160902,13,
In-Sample,Medoid 5,130,240,54096.0,12.948495665476798,0.097959,13,
Out-of-Sample,Best,115,245,-45756.0,10.124851367419739,-0.19739136849759184,5,
Out-of-Sample,Medoid 1,200,225,-32148.0,10.124851367419739,-0.13868816592212013,2,
Out-of-Sample,Medoid 2,130,205,-98860.0,10.124851367419739,-0.4266517091116694,5,
Out-of-Sample,Medoid 3,175,195,-90672.0,10.124851367419739,-0.39121904896769233,7,
Out-of-Sample,Medoid 4,105,250,-34316.0,10.124851367419739,-0.14803915143427046,5,
Out-of-Sample,Medoid 5,130,240,-49044.0,10.124851367419739,-0.2115866162340601,5,
Full,Best,115,245,141172.0,12.100999286224125,0.18009404716066704,13,27.0
Full,Medoid 1,200,225,104480.0,12.100999286224125,0.1332857293773819,14,27.0
Full,Medoid 2,130,205,20152.0,12.100999286224125,0.025706710520249657,15,27.0
Full,Medoid 3,175,195,25760.0,12.100999286224125,0.03285941914011646,21,27.0
Full,Medoid 4,105,250,54528.0,12.100999286224125,0.06956013445730946,13,27.0
Full,Medoid 5,130,240,5052.0,12.100999286224125,0.006444272213770227,13,27.0
