Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,115,245,186928.0,12.948495665476798,0.33858665186404885,8,
In-Sample,Medoid 1,130,210,152832.0,12.948495665476798,0.276796,15,
In-Sample,Medoid 2,110,245,121028.0,12.948495665476798,0.219179,13,
In-Sample,Medoid 3,95,275,92380.0,12.948495665476798,0.167291,10,
In-Sample,Medoid 4,195,220,81080.0,12.948495665476798,0.146831,19,
In-Sample,Medoid 5,130,170,70892.0,12.948495665476798,0.128384,17,
Out-of-Sample,Best,115,245,-45756.0,10.124851367419739,-0.19739136849759184,5,
Out-of-Sample,Medoid 1,130,210,-64384.0,10.124851367419739,-0.27778309897084963,5,
Out-of-Sample,Medoid 2,110,245,-10716.0,10.124851367419739,-0.046230359821960824,5,
Out-of-Sample,Medoid 3,95,275,-5732.0,10.124851367419739,-0.024726594186172936,2,
Out-of-Sample,Medoid 4,195,220,-60220.0,10.124851367419739,-0.2598255383973077,5,
Out-of-Sample,Medoid 5,130,170,-49740.0,10.124851367419739,-0.21459502766532157,5,
Full,Best,115,245,141172.0,12.100999286224125,0.18009404716066704,13,27.0
Full,Medoid 1,130,210,88448.0,12.100999286224125,0.11282713319105676,15,27.0
Full,Medoid 2,110,245,110312.0,12.100999286224125,0.14072078256263135,13,27.0
Full,Medoid 3,95,275,86648.0,12.100999286224125,0.11052920534167687,10,27.0
Full,Medoid 4,195,220,20860.0,12.100999286224125,0.026609780946624785,19,27.0
Full,Medoid 5,130,170,21152.0,12.100999286224125,0.026982738934298908,17,27.0
