Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,28,112,0.730465,27
2,46,56,0.706374,67
3,30,82,0.67845,37
4,138,280,0.669024,13
5,88,280,0.65701,13
6,30,78,0.654477,37
7,164,176,0.634071,39
8,126,242,0.614833,15
9,176,194,0.590863,31
10,220,264,0.566505,18
11,130,198,0.539019,15
12,58,288,0.493673,11
13,158,272,0.489135,10
14,214,274,0.485271,16
15,228,236,0.479616,45
16,20,58,0.475935,53
17,80,240,0.467445,13
18,162,208,0.465119,17
19,206,232,0.445362,23
20,162,226,0.44198,15
21,258,288,0.44101,18
22,22,138,0.434431,30
23,100,190,0.433557,15
24,30,34,0.431697,127
25,60,70,0.404415,53
26,130,152,0.402451,31
27,102,166,0.39632,17
28,214,216,0.394796,85
29,110,282,0.38381,13
30,96,210,0.365043,15
31,178,262,0.356535,12
32,274,280,0.353703,37
33,62,88,0.336222,33
34,30,282,0.318246,19
35,10,236,0.314726,36
36,78,80,0.286735,93
37,44,240,0.268986,20
38,48,158,0.258153,18
39,64,108,0.245628,29
40,72,134,0.236168,20
41,16,36,0.225225,81
42,98,104,0.135022,58
43,100,118,0.096576,37
44,44,192,0.082568,20
45,24,234,0.02118,25
46,16,194,0.018486,31
47,90,128,-0.00239,25
