period_label,date,trading_days,Best_sharpe,Best_return,Medoid_1_sharpe,Medoid_1_return,Medoid_2_sharpe,Medoid_2_return,Medoid_3_sharpe,Medoid_3_return,Avg_Medoid_sharpe,Avg_Medoid_return,Best_sharpe_rounded,Avg_Medoid_sharpe_rounded
2021-03,2021-03-15,43,0.3573656344797918,3634.0000000017144,-0.07182931264360835,-729.999999999478,-0.07182931264360835,-729.999999999478,-0.07182931264360835,-729.999999999478,-0.07182931264360835,-729.999999999478,0.36,-0.07
2021-05,2021-05-15,43,0.6372379494367418,5475.999999999331,-1.1324679467530363,-9820.000000002492,0.33702676170856205,2891.9999999997854,0.38296708870212365,3299.9999999997854,-0.1374913654474502,-1209.333333334307,0.64,-0.14
2021-07,2021-07-15,44,6.135451262755461,58546.00000000128,2.7065469664194475,27526.000000000644,-2.5600970044423996,-26029.999999999407,4.824451248423812,47326.00000000077,1.6569670701336199,16274.00000000067,6.14,1.66
2021-09,2021-09-15,43,3.909406154893753,52469.99999999968,3.909406154893753,52469.99999999968,3.909406154893753,52469.99999999968,3.909406154893753,52469.99999999968,3.909406154893753,52469.99999999968,3.91,3.91
2021-11,2021-11-15,43,-1.2205372230872578,-12640.000000000131,-3.0279475793802964,-30863.99999999949,-1.2205372230872578,-12640.000000000131,-1.2205372230872578,-12640.000000000131,-1.8230073418516042,-18714.666666666584,-1.22,-1.82
2022-01,2022-01-15,41,0.024736419310655962,438.0000000005184,0.1882903653372051,3329.999999999656,1.7752172257493237,31190.000000000335,1.7752172257493237,31190.000000000335,1.246241605611951,21903.33333333344,0.02,1.25
2022-03,2022-03-15,42,3.5280541975840705,41799.9999999998,2.305795903972787,27687.999999999724,3.5280541975840705,41799.9999999998,3.5280541975840705,41799.9999999998,3.1206347663803093,37095.999999999774,3.53,3.12
2022-05,2022-05-15,44,1.5670082213923098,22740.000000000025,1.5670082213923098,22740.000000000025,1.5670082213923098,22740.000000000025,1.5670082213923098,22740.000000000025,1.5670082213923096,22740.000000000025,1.57,1.57
2022-07,2022-07-15,44,1.2704548410833085,11870.00000000006,1.2704548410833085,11870.00000000006,1.2704548410833085,11870.00000000006,1.2704548410833085,11870.00000000006,1.2704548410833085,11870.00000000006,1.27,1.27
2022-09,2022-09-15,43,2.0640981170727346,23409.999999999993,2.0640981170727346,23409.999999999993,2.0640981170727346,23409.999999999993,2.0640981170727346,23409.999999999993,2.0640981170727346,23409.99999999999,2.06,2.06
2022-11,2022-11-15,43,2.850852345120474,27209.99999999998,2.850852345120474,27209.99999999998,2.850852345120474,27209.99999999998,2.850852345120474,27209.99999999998,2.850852345120474,27209.99999999998,2.85,2.85
2023-01,2023-01-15,42,0.7548863074505431,7790.000000000022,0.7548863074505431,7790.000000000022,0.7548863074505431,7790.000000000022,0.7548863074505431,7790.000000000022,0.7548863074505431,7790.000000000022,0.75,0.75
2023-03,2023-03-15,41,-1.689882622889432,-25099.999999999967,-1.689882622889432,-25099.999999999967,-1.689882622889432,-25099.999999999967,-1.689882622889432,-25099.999999999967,-1.6898826228894321,-25099.999999999967,-1.69,-1.69
2023-05,2023-05-15,44,1.6372148611149504,17099.999999999978,1.6372148611149504,17099.999999999978,1.6372148611149504,17099.999999999978,1.6372148611149504,17099.999999999978,1.6372148611149504,17099.999999999978,1.64,1.64
2023-07,2023-07-15,44,-0.5552812179107924,-5859.999999999986,-0.5552812179107924,-5859.999999999986,-0.5552812179107924,-5859.999999999986,-0.5552812179107924,-5859.999999999986,-0.5552812179107924,-5859.999999999986,-0.56,-0.56
2023-09,2023-09-15,43,1.8370406578476073,19849.999999999924,1.8370406578476073,19849.999999999924,1.8370406578476073,19849.999999999924,1.8370406578476073,19849.999999999924,1.8370406578476073,19849.999999999924,1.84,1.84
2023-11,2023-11-15,41,-4.590388167110109,-52389.99999999986,-5.4273332483890115,-60958.00000000018,-4.590388167110109,-52389.99999999986,-4.590388167110109,-52389.99999999986,-4.869369860869743,-55245.99999999997,-4.59,-4.87
2024-01,2024-01-15,43,3.9572676182980215,42977.99999999976,-0.22554890958186966,-2525.999999999908,3.7794956144313683,41109.99999999989,3.7794956144313683,41109.99999999989,2.444480773093622,26564.666666666628,3.96,2.44
2024-03,2024-03-15,41,2.050815959486111,21649.999999999964,2.050815959486111,21649.999999999964,2.050815959486111,21649.999999999964,2.050815959486111,21649.999999999964,2.050815959486111,21649.999999999964,2.05,2.05
2024-05,2024-05-15,42,-2.7918185399770326,-28338.00000000007,-4.5520383494571846,-45005.99999999979,0.9491722374105435,9749.999999999955,-1.0307999782455546,-10589.999999999975,-1.5445553634307319,-15281.999999999936,-2.79,-1.54
2024-07,2024-07-15,45,-1.3531549140182257,-13008.00000000002,2.204727873643204,20980.000000000153,4.069694671194455,37739.99999999992,-0.6672733939568981,-6415.999999999893,1.8690497169602536,17434.666666666726,-1.35,1.87
2024-09,2024-09-15,44,2.633740689480604,31617.99999999993,5.487332704282799,62957.99999999991,4.260244165052116,50026.00000000006,2.909579552826232,34818.000000000204,4.219052140720382,49267.333333333394,2.63,4.22
2024-11,2024-11-15,39,-1.158581889548853,-8030.000000000071,-1.158581889548853,-8030.000000000071,-1.158581889548853,-8030.000000000071,-1.158581889548853,-8030.000000000071,-1.158581889548853,-8030.00000000007,-1.16,-1.16
