Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,222,234,352685.99999999825,24.859730848861282,0.6891486186645801,18,
In-Sample,Medoid 1,206,230,389749.9999999987,24.859730848861282,1.017804,29,
In-Sample,Medoid 2,214,218,342490.000000003,24.859730848861282,0.878207,55,
In-Sample,Medoid 3,204,260,369517.9999999989,24.859730848861282,0.729076,14,
In-Sample,Medoid 4,174,176,349806.00000000175,24.859730848861282,0.719438,107,
In-Sample,Medoid 5,204,282,327673.9999999997,24.859730848861282,0.649872,10,
Out-of-Sample,Best,222,234,233860.0000000009,18.191409193669934,0.6581306104389856,21,
Out-of-Sample,Medoid 1,206,230,137680.00000000096,18.191409193669934,0.38727029841014826,17,
Out-of-Sample,Medoid 2,214,218,115055.99999999971,18.191409193669934,0.323560682512571,29,
Out-of-Sample,Medoid 3,204,260,211948.00000000012,18.191409193669934,0.5964173123576647,5,
Out-of-Sample,Medoid 4,174,176,102576.00000000081,18.191409193669934,0.28848709780075055,68,
Out-of-Sample,Medoid 5,204,282,284700.00000000047,18.191409193669934,0.8017237441315027,5,
Full,Best,222,234,586545.9999999992,22.144522859772938,0.6764872281374914,39,41.0
Full,Medoid 1,206,230,527429.9999999998,22.144522859772938,0.6081419768833815,33,41.0
Full,Medoid 2,214,218,457546.00000000274,22.144522859772938,0.5275516577952262,65,41.0
Full,Medoid 3,204,260,581465.9999999991,22.144522859772938,0.6706460912098602,15,41.0
Full,Medoid 4,174,176,452382.0000000026,22.144522859772938,0.5216738355177188,122,41.0
Full,Medoid 5,204,282,612374.0000000002,22.144522859772938,0.7063891045267655,11,41.0
