Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,222,234,352685.99999999825,24.859730848861282,0.6891486186645801,18,
In-Sample,Medoid 1,208,230,371521.99999999977,24.859730848861282,1.001695,31,
In-Sample,Medoid 2,198,238,372602.0000000023,24.859730848861282,0.811434,19,
In-Sample,Medoid 3,212,262,313757.9999999999,24.859730848861282,0.735425,14,
In-Sample,Medoid 4,164,256,324273.99999999994,24.859730848861282,0.651765,13,
In-Sample,Medoid 5,202,282,339122.0000000011,24.859730848861282,0.646197,10,
Out-of-Sample,Best,222,234,233860.0000000009,18.191409193669934,0.6581306104389856,21,
Out-of-Sample,Medoid 1,208,230,155503.99999999895,18.191409193669934,0.43737575178463434,19,
Out-of-Sample,Medoid 2,198,238,277163.99999999977,18.191409193669934,0.7804152461141074,7,
Out-of-Sample,Medoid 3,212,262,256864.00000000128,18.191409193669934,0.7231926627787629,5,
Out-of-Sample,Medoid 4,164,256,102900.00000000266,18.191409193669934,0.2893562330066416,7,
Out-of-Sample,Medoid 5,202,282,263664.00000000035,18.191409193669934,0.7423263926460382,5,
Full,Best,222,234,586545.9999999992,22.144522859772938,0.6764872281374914,39,41.0
Full,Medoid 1,208,230,527025.9999999987,22.144522859772938,0.6077276442138513,35,41.0
Full,Medoid 2,198,238,649766.0000000022,22.144522859772938,0.749616943992166,23,41.0
Full,Medoid 3,212,262,570622.0000000014,22.144522859772938,0.6581784501698864,15,41.0
Full,Medoid 4,164,256,427174.0000000027,22.144522859772938,0.4924605334228504,15,41.0
Full,Medoid 5,202,282,602786.0000000016,22.144522859772938,0.6952983621067953,11,41.0
