period_label,date,trading_days,Best_sharpe,Best_return,Medoid_1_sharpe,Medoid_1_return,Medoid_2_sharpe,Medoid_2_return,Medoid_3_sharpe,Medoid_3_return,Avg_Medoid_sharpe,Avg_Medoid_return,Best_sharpe_rounded,Avg_Medoid_sharpe_rounded
2021-07,2021-07-15,42,1.605961421648547,15625.0,1.605961421648547,15625.0,-1.605961421648547,-15625.0,1.605961421648547,15625.0,0.535320473882849,5208.333333333333,1.61,0.54
2021-09,2021-09-15,43,-1.9150920039241972,-21371.5625,-3.3389294362321875,-36763.4375,-1.0080240331963388,-11283.4375,-1.6166560865293451,-18080.3125,-1.9878698519859572,-22042.395833333332,-1.92,-1.99
2021-11,2021-11-15,44,0.287461418376376,3687.5,0.287461418376376,3687.5,0.6046452261961819,7730.625,0.287461418376376,3687.5,0.39318935431631125,5035.208333333333,0.29,0.39
2022-01,2022-01-15,41,3.234980954076048,40945.3125,3.234980954076048,40945.3125,3.234980954076048,40945.3125,3.234980954076048,40945.3125,3.234980954076048,40945.3125,3.23,3.23
2022-03,2022-03-15,43,4.912785164440085,59812.5,4.912785164440085,59812.5,4.912785164440085,59812.5,4.912785164440085,59812.5,4.912785164440085,59812.5,4.91,4.91
2022-05,2022-05-15,44,0.3478253622031351,4257.8125,0.3478253622031351,4257.8125,0.3478253622031351,4257.8125,0.3478253622031351,4257.8125,0.3478253622031351,4257.8125,0.35,0.35
2022-07,2022-07-15,44,-0.12056641452460236,-1197.8125,1.6328882850469846,16132.8125,1.6328882850469846,16132.8125,-0.2106474040235039,-2092.1875,1.0183763886901551,10057.8125,-0.12,1.02
2022-09,2022-09-15,43,2.0540552673329335,24821.25,-1.0083391358122085,-12256.875,3.482234003049575,41468.75,1.4234482405771363,17296.25,1.2991143692715008,15502.708333333334,2.05,1.3
2022-11,2022-11-15,43,-0.6693746869016677,-6593.75,-0.6693746869016677,-6593.75,-0.6693746869016677,-6593.75,-0.6693746869016677,-6593.75,-0.6693746869016678,-6593.75,-0.67,-0.67
2023-01,2023-01-15,41,-5.69889395209101,-61438.125,-3.8700354194063564,-43047.5,1.5093055626700034,17218.75,-2.1701325006060834,-24651.25,-1.5102874524474788,-16826.666666666668,-5.7,-1.51
2023-03,2023-03-15,43,1.5058146219534938,22316.875,-2.8013381845754206,-41083.125,-2.2984326836054776,-33890.625,-2.8563605923476723,-41895.625,-2.6520438201761904,-38956.458333333336,1.51,-2.65
2023-05,2023-05-15,45,-0.14778706138026923,-1657.5,-2.0044998466481636,-22282.5,-5.387418190257403,-57194.375,-3.251942742119148,-35710.0,-3.547953593008238,-38395.625,-0.15,-3.55
2023-07,2023-07-15,44,0.7294953611831297,7273.4375,0.7294953611831297,7273.4375,0.7294953611831297,7273.4375,0.7294953611831297,7273.4375,0.7294953611831297,7273.4375,0.73,0.73
2023-09,2023-09-15,43,3.3451688387134504,38421.875,3.3451688387134504,38421.875,2.080491618999032,24226.875,3.3451688387134504,38421.875,2.9236097654753106,33690.208333333336,3.35,2.92
2023-11,2023-11-15,42,-4.045194166780605,-49625.0,-3.995088244186522,-49051.875,-4.045194166780605,-49625.0,-3.284193463589135,-40723.75,-3.774825291518754,-46466.875,-4.05,-3.77
2024-01,2024-01-15,43,-1.960617343875263,-21944.6875,-2.5885934679539755,-28804.6875,2.5885934679539755,28804.6875,-2.5885934679539755,-28804.6875,-0.8628644893179919,-9601.5625,-1.96,-0.86
2024-03,2024-03-15,42,3.749529767252971,42548.75,1.8115480403253876,21011.875,1.8341461530339798,21287.5,5.318789467335094,58781.875,2.9881612202314876,33693.75,3.75,2.99
2024-05,2024-05-15,43,-1.7244230425028082,-19960.9375,-1.7244230425028082,-19960.9375,1.7064570808336283,19780.9375,-1.7244230425028082,-19960.9375,-0.580796334723996,-6713.645833333333,-1.72,-0.58
2024-07,2024-07-15,45,1.4323660796519546,19148.125,0.3725219458144235,5001.875,-3.700730687317872,-48343.75,2.2595731808806243,30011.875,-0.35621185354094137,-4443.333333333333,1.43,-0.36
2024-09,2024-09-15,44,-3.7456261168867564,-40695.3125,-3.7456261168867564,-40695.3125,2.0531306910727705,22654.0625,-3.7456261168867564,-40695.3125,-1.8127071809002473,-19578.854166666668,-3.75,-1.81
2024-11,2024-11-15,42,-0.7075622857865111,-7017.1875,0.5041328905401747,5004.0625,-1.7563684491120157,-17320.3125,1.4715425999393785,14514.0625,0.07310234712251251,732.6041666666666,-0.71,0.07
