period_label,date,trading_days,Best_sharpe,Best_return,Medoid_1_sharpe,Medoid_1_return,Medoid_2_sharpe,Medoid_2_return,Medoid_3_sharpe,Medoid_3_return,Avg_Medoid_sharpe,Avg_Medoid_return,Best_sharpe_rounded,Avg_Medoid_sharpe_rounded
2021-07,2021-07-15,42,1.605961421648547,15625.0,1.605961421648547,15625.0,1.605961421648547,15625.0,-1.605961421648547,-15625.0,0.535320473882849,5208.333333333333,1.61,0.54
2021-09,2021-09-15,43,-1.9150920039241972,-21371.5625,-3.3389294362321875,-36763.4375,-1.1065413299643219,-12365.9375,-1.4061745773762855,-15752.1875,-1.9505484478575983,-21627.1875,-1.92,-1.95
2021-11,2021-11-15,44,0.287461418376376,3687.5,0.287461418376376,3687.5,0.287461418376376,3687.5,-1.8749798301331373,-23888.75,-0.43335233112679505,-5504.583333333333,0.29,-0.43
2022-01,2022-01-15,41,3.234980954076048,40945.3125,3.234980954076048,40945.3125,3.234980954076048,40945.3125,3.234980954076048,40945.3125,3.234980954076048,40945.3125,3.23,3.23
2022-03,2022-03-15,43,4.912785164440085,59812.5,4.912785164440085,59812.5,4.912785164440085,59812.5,4.912785164440085,59812.5,4.912785164440085,59812.5,4.91,4.91
2022-05,2022-05-15,44,0.3478253622031351,4257.8125,0.3478253622031351,4257.8125,0.3478253622031351,4257.8125,0.3478253622031351,4257.8125,0.3478253622031351,4257.8125,0.35,0.35
2022-07,2022-07-15,44,-0.12056641452460236,-1197.8125,1.6328882850469846,16132.8125,1.6021503488614366,15812.1875,1.6328882850469846,16132.8125,1.6226423063184685,16025.9375,-0.12,1.62
2022-09,2022-09-15,43,2.0540552673329335,24821.25,-3.283414199469111,-39251.25,-0.34026624424931357,-4147.5,3.482234003049575,41468.75,-0.0471488135562832,-643.3333333333334,2.05,-0.05
2022-11,2022-11-15,43,-0.6693746869016677,-6593.75,-0.6693746869016677,-6593.75,-0.6818607157515957,-6713.75,-0.6693746869016677,-6593.75,-0.6735366965183104,-6633.75,-0.67,-0.67
2023-01,2023-01-15,41,-5.69889395209101,-61438.125,-3.8700354194063564,-43047.5,-2.970483511824157,-33423.125,1.5093055626700034,17218.75,-1.7770711228535034,-19750.625,-5.7,-1.78
2023-03,2023-03-15,43,1.5058146219534938,22316.875,-2.871711988575594,-42098.75,-3.236374598220045,-47254.375,-2.2984326836054776,-33890.625,-2.802173090133706,-41081.25,1.51,-2.8
2023-05,2023-05-15,45,-0.14778706138026923,-1657.5,-2.104905854731485,-23366.25,-1.7859366475493503,-19876.25,-3.5523521972457717,-38928.75,-2.4810648998422025,-27390.416666666668,-0.15,-2.48
2023-07,2023-07-15,44,0.7294953611831297,7273.4375,0.7294953611831297,7273.4375,0.7294953611831297,7273.4375,0.7294953611831297,7273.4375,0.7294953611831297,7273.4375,0.73,0.73
2023-09,2023-09-15,43,3.3451688387134504,38421.875,3.3451688387134504,38421.875,3.3451688387134504,38421.875,2.259394917763487,26226.875,2.9832441983967954,34356.875,3.35,2.98
2023-11,2023-11-15,42,-4.045194166780605,-49625.0,-3.995088244186522,-49051.875,-3.995088244186522,-49051.875,-4.045194166780605,-49625.0,-4.01179021838455,-49242.916666666664,-4.05,-4.01
2024-01,2024-01-15,43,-1.960617343875263,-21944.6875,-2.5885934679539755,-28804.6875,-2.5885934679539755,-28804.6875,2.5885934679539755,28804.6875,-0.8628644893179919,-9601.5625,-1.96,-0.86
2024-03,2024-03-15,42,3.749529767252971,42548.75,1.8115480403253876,21011.875,2.4076271816897776,27761.875,1.87820594636972,21756.25,2.032460389461628,23510.0,3.75,2.03
2024-05,2024-05-15,43,-1.7244230425028082,-19960.9375,-1.7244230425028082,-19960.9375,-1.7244230425028082,-19960.9375,1.7064570808336283,19780.9375,-0.580796334723996,-6713.645833333333,-1.72,-0.58
2024-07,2024-07-15,45,1.4323660796519546,19148.125,0.3725219458144235,5001.875,0.9685678367725171,12970.625,-3.700730687317872,-48343.75,-0.7865469682436439,-10123.75,1.43,-0.79
2024-09,2024-09-15,44,-3.7456261168867564,-40695.3125,-3.7456261168867564,-40695.3125,-3.7456261168867564,-40695.3125,-0.17672886332443666,-1974.6875,-2.55599369903265,-27788.4375,-3.75,-2.56
2024-11,2024-11-15,42,-0.7075622857865111,-7017.1875,-0.5281981190582463,-5245.9375,0.15124588183066254,1504.0625,-1.7563684491120157,-17320.3125,-0.7111068954465333,-7020.729166666667,-0.71,-0.71
