Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,58,82,0.745325,37
2,66,72,0.725352,69
3,144,162,0.689942,29
4,64,66,0.645541,113
5,150,154,0.617393,55
6,28,174,0.576575,19
7,76,212,0.570131,12
8,46,88,0.553197,29
9,28,222,0.523564,16
10,118,184,0.522326,15
11,42,108,0.488752,27
12,130,132,0.462986,86
13,28,250,0.431098,14
14,34,220,0.427863,16
15,22,142,0.408977,27
16,48,190,0.403301,17
17,46,54,0.392867,72
18,132,138,0.339362,46
19,42,74,0.33292,41
20,64,172,0.313424,17
21,132,196,0.30527,15
22,24,280,0.29151,10
23,130,150,0.273506,27
24,68,122,0.263816,27
25,160,188,0.176148,21
26,74,146,0.174145,21
27,20,98,0.173287,39
28,100,164,0.150611,17
29,28,64,0.146171,50
30,258,278,0.142937,12
31,276,280,0.140058,32
32,94,110,0.134794,43
33,34,290,0.08991,10
34,152,224,0.08293,11
35,198,240,0.057134,12
36,178,212,0.02088,17
37,188,196,0.018263,35
38,106,134,-0.036124,28
39,278,294,-0.037851,15
40,228,252,-0.110603,14
41,208,212,-0.152783,52
42,16,58,-0.15397,60
43,16,38,-0.230721,86
44,236,248,-0.284839,18
45,14,26,-0.33559,120
