Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,92,262,0.823553,12
2,182,248,0.727024,15
3,78,242,0.653822,14
4,116,260,0.652586,10
5,34,56,0.580715,56
6,220,236,0.558828,33
7,42,44,0.555482,160
8,154,234,0.532163,16
9,32,106,0.512686,34
10,212,258,0.492542,17
11,30,222,0.470423,24
12,224,228,0.455626,57
13,222,282,0.435888,15
14,26,278,0.408138,18
15,22,226,0.362318,26
16,30,80,0.274896,42
17,92,216,0.273545,18
18,60,278,0.259953,14
19,274,288,0.236387,25
20,166,208,0.2265,22
21,280,282,0.221607,59
22,30,134,0.199794,29
23,168,184,0.194659,37
24,104,110,0.190172,70
25,254,288,0.188198,15
26,48,60,0.142403,62
27,52,232,0.136495,20
28,26,182,0.082434,33
29,26,92,0.048558,46
30,146,200,0.02346,20
31,108,120,0.003136,45
32,94,148,-0.00549,23
33,58,200,-0.012429,20
34,116,154,-0.035544,29
35,118,190,-0.042275,21
36,94,96,-0.114101,107
37,14,156,-0.131781,43
38,160,164,-0.132111,78
39,22,40,-0.164395,89
40,152,166,-0.23945,48
41,62,176,-0.328804,25
42,72,128,-0.33084,28
43,70,96,-0.409599,41
44,108,170,-0.41394,23
45,62,138,-0.605917,27
46,22,30,-0.629668,121
