Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,24,30,0.686283,115
2,152,178,0.618174,25
3,164,168,0.580827,47
4,130,176,0.513445,23
5,20,202,0.463196,15
6,112,200,0.447553,13
7,40,254,0.390163,14
8,18,168,0.384392,25
9,42,112,0.375585,30
10,28,288,0.354931,16
11,28,52,0.326765,59
12,30,68,0.306973,47
13,20,236,0.302123,19
14,162,198,0.294397,19
15,44,158,0.286943,18
16,192,212,0.253742,22
17,20,38,0.249717,79
18,68,230,0.227902,12
19,28,34,0.191629,107
20,44,190,0.17624,15
21,46,88,0.172107,35
22,40,130,0.164635,28
23,152,234,0.163797,11
24,124,154,0.157198,27
25,188,252,0.154786,18
26,126,272,0.14197,10
27,190,192,0.116101,51
28,78,188,0.094487,15
29,68,270,0.088507,12
30,126,132,0.084677,67
31,20,24,0.068243,159
32,42,66,0.034066,54
33,78,292,0.003803,12
34,126,292,0.003472,10
35,172,286,-0.006861,10
36,98,102,-0.042904,77
37,64,122,-0.05027,26
38,104,124,-0.097276,36
39,92,104,-0.100675,48
40,22,104,-0.102094,41
41,74,174,-0.152284,17
42,218,288,-0.159176,16
43,220,250,-0.169627,22
44,228,232,-0.240696,42
45,94,142,-0.262519,25
46,236,278,-0.307128,18
47,262,288,-0.43448,22
48,270,276,-0.612178,36
