Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,22,28,468558.00000000006,3.669050051072523,0.8039361642704463,80,
In-Sample,Medoid 1,24,30,385453.3999999999,3.669050051072523,0.686283,115,
In-Sample,Medoid 2,152,178,249875.00000000003,3.669050051072523,0.618174,25,
In-Sample,Medoid 3,164,168,276089.6000000001,3.669050051072523,0.580827,47,
In-Sample,Medoid 4,130,176,215130.8000000001,3.669050051072523,0.513445,23,
In-Sample,Medoid 5,20,202,240901.80000000005,3.669050051072523,0.463196,15,
Out-of-Sample,Best,22,28,137405.20000000013,2.1164835164835165,0.44933357294231646,45,
Out-of-Sample,Medoid 1,24,30,78208.60000000005,2.1164835164835165,0.2556779536812894,41,
Out-of-Sample,Medoid 2,152,178,160178.79999999987,2.1164835164835165,0.5239195449302212,7,
Out-of-Sample,Medoid 3,164,168,170852.39999999994,2.1164835164835165,0.558883318448796,19,
Out-of-Sample,Medoid 4,130,176,83519.99999999997,2.1164835164835165,0.2730739667805708,7,
Out-of-Sample,Medoid 5,20,202,191567.6,2.1164835164835165,0.6267231269159821,3,
Full,Best,22,28,605963.2000000001,3.176429567642957,0.6805964565045363,125,5.0
Full,Medoid 1,24,30,463662.0,3.176429567642957,0.5205441676124616,117,5.0
Full,Medoid 2,152,178,410053.7999999998,3.176429567642957,0.46035675464310893,25,5.0
Full,Medoid 3,164,168,446941.99999999994,3.176429567642957,0.5018096262486376,45,5.0
Full,Medoid 4,130,176,298650.8,3.176429567642957,0.3352275867546743,23,5.0
Full,Medoid 5,20,202,432469.39999999997,3.176429567642957,0.48556057949512327,17,5.0
