Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,24,84,0.177139,34
2,246,272,0.150321,22
3,26,50,0.08582,70
4,266,270,0.064928,52
5,26,62,0.048937,50
6,34,94,0.015526,30
7,20,240,0.003921,22
8,138,156,-0.000729,23
9,38,114,-0.00593,24
10,238,272,-0.016959,18
11,26,40,-0.043614,89
12,24,26,-0.076123,210
13,24,282,-0.085443,14
14,116,266,-0.093664,12
15,240,288,-0.100943,18
16,20,152,-0.102773,28
17,50,280,-0.111801,10
18,192,274,-0.120287,14
19,82,144,-0.14126,17
20,140,144,-0.171722,51
21,42,70,-0.175111,42
22,138,176,-0.176421,17
23,114,236,-0.180787,13
24,28,190,-0.181908,20
25,212,230,-0.197744,24
26,106,274,-0.201982,12
27,58,134,-0.204544,24
28,172,240,-0.208575,16
29,54,240,-0.221379,16
30,74,260,-0.27725,14
31,148,282,-0.279184,12
32,110,114,-0.289047,77
33,96,162,-0.290017,17
34,102,192,-0.291404,15
35,60,180,-0.298788,18
36,86,96,-0.300865,50
37,96,120,-0.306986,32
38,66,224,-0.313277,18
39,76,108,-0.332326,28
40,58,200,-0.381547,22
41,164,204,-0.399794,20
42,22,34,-0.414228,108
43,188,190,-0.420629,52
44,134,202,-0.455352,15
45,148,250,-0.471229,12
46,24,30,-0.503414,139
