Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,58,60,372682.99999999977,8.17295918367347,0.6739671387136387,117,
In-Sample,Medoid 1,24,84,120715.50000000057,8.17295918367347,0.177139,34,
In-Sample,Medoid 2,246,272,178703.49999999988,8.17295918367347,0.150321,22,
In-Sample,Medoid 3,26,50,92129.00000000048,8.17295918367347,0.08582,70,
In-Sample,Medoid 4,266,270,78884.49999999977,8.17295918367347,0.064928,52,
In-Sample,Medoid 5,26,62,57020.49999999982,8.17295918367347,0.048937,50,
Out-of-Sample,Best,58,60,207123.999999999,8.508682328907048,0.7524155636119373,34,
Out-of-Sample,Medoid 1,24,84,161636.4999999999,8.508682328907048,0.586786523529522,10,
Out-of-Sample,Medoid 2,246,272,254699.50000000017,8.508682328907048,0.9256273287961576,3,
Out-of-Sample,Medoid 3,26,50,149756.500000001,8.508682328907048,0.5436245470297855,22,
Out-of-Sample,Medoid 4,266,270,351585.00000000023,8.508682328907048,1.2797911099068635,8,
Out-of-Sample,Medoid 5,26,62,194715.49999999997,8.508682328907048,0.7070788458039605,14,
Full,Best,58,60,579806.9999999986,8.284790745151412,0.7001470933220025,151,15.0
Full,Medoid 1,24,84,282352.0000000006,8.284790745151412,0.3406661346080243,37,15.0
Full,Medoid 2,246,272,433402.9999999999,8.284790745151412,0.5230707153181755,21,15.0
Full,Medoid 3,26,50,241885.50000000137,8.284790745151412,0.29182827869053035,75,15.0
Full,Medoid 4,266,270,430469.4999999999,8.284790745151412,0.5195727865403518,51,15.0
Full,Medoid 5,26,62,251735.99999999977,8.284790745151412,0.30370186775694086,53,15.0
