Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,126,144,333770.74999999994,5.263488737558931,0.5876303812067116,19,
In-Sample,Medoid 1,64,182,272166.7500000001,5.263488737558931,0.409449,15,
In-Sample,Medoid 2,116,162,246195.75000000003,5.263488737558931,0.403954,17,
In-Sample,Medoid 3,126,136,282786.75,5.263488737558931,0.403383,45,
In-Sample,Medoid 4,190,204,128222.75,5.263488737558931,0.38128,25,
In-Sample,Medoid 5,20,216,283735.25000000006,5.263488737558931,0.354442,25,
Out-of-Sample,Best,126,144,316713.24999999994,3.425531914893617,0.879610454615665,13,
Out-of-Sample,Medoid 1,64,182,184592.24999999997,3.425531914893617,0.512124121364604,7,
Out-of-Sample,Medoid 2,116,162,252997.74999999994,3.425531914893617,0.7021488393283584,7,
Out-of-Sample,Medoid 3,126,136,173552.24999999994,3.425531914893617,0.4814960258688598,19,
Out-of-Sample,Medoid 4,190,204,476725.75,3.425531914893617,1.326483167064711,12,
Out-of-Sample,Medoid 5,20,216,101977.25,3.425531914893617,0.2827753734671361,13,
Full,Best,126,144,650483.9999999999,4.580836351662825,0.700382840773292,32,10.0
Full,Medoid 1,64,182,456759.0000000001,4.580836351662825,0.49149380152680844,16,10.0
Full,Medoid 2,116,162,499193.4999999999,4.580836351662825,0.5371949262110362,18,10.0
Full,Medoid 3,126,136,456338.9999999999,4.580836351662825,0.4910751601710761,46,10.0
Full,Medoid 4,190,204,604948.5,4.580836351662825,0.6511828313596687,26,10.0
Full,Medoid 5,20,216,385712.50000000006,4.580836351662825,0.41498866762732106,26,10.0
