Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,126,144,333770.74999999994,5.263488737558931,0.5876303812067116,19,
In-Sample,Medoid 1,22,204,337108.75000000006,5.263488737558931,0.457406,23,
In-Sample,Medoid 2,118,156,256119.74999999988,5.263488737558931,0.454178,21,
In-Sample,Medoid 3,190,204,128222.75,5.263488737558931,0.38128,25,
In-Sample,Medoid 4,64,134,285600.2500000001,5.263488737558931,0.379578,21,
In-Sample,Medoid 5,64,184,271041.75000000006,5.263488737558931,0.377127,15,
Out-of-Sample,Best,126,144,316713.24999999994,3.425531914893617,0.879610454615665,13,
Out-of-Sample,Medoid 1,22,204,175958.25,3.425531914893617,0.4881795918385225,11,
Out-of-Sample,Medoid 2,118,156,275922.24999999994,3.425531914893617,0.7659612184871469,9,
Out-of-Sample,Medoid 3,190,204,476725.75,3.425531914893617,1.326483167064711,12,
Out-of-Sample,Medoid 4,64,134,138725.24999999994,3.425531914893617,0.3847564171082858,9,
Out-of-Sample,Medoid 5,64,184,171242.25,3.425531914893617,0.475020055340686,7,
Full,Best,126,144,650483.9999999999,4.580836351662825,0.700382840773292,32,10.0
Full,Medoid 1,22,204,513067.00000000006,4.580836351662825,0.552194578448901,24,10.0
Full,Medoid 2,118,156,532041.9999999998,4.580836351662825,0.5726241806289145,22,10.0
Full,Medoid 3,190,204,604948.5,4.580836351662825,0.6511828313596687,26,10.0
Full,Medoid 4,64,134,424325.5,4.580836351662825,0.4565543138254394,22,10.0
Full,Medoid 5,64,184,442284.0000000001,4.580836351662825,0.47590620986410387,16,10.0
