Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,132,256,356569.9999999999,10.259298061812467,0.6598909099417422,7,
In-Sample,Medoid 1,138,246,352583.0,10.259298061812467,0.59668,14,
In-Sample,Medoid 2,26,82,272607.00000000023,10.259298061812467,0.531326,34,
In-Sample,Medoid 3,152,172,179329.9999999997,10.259298061812467,0.373709,34,
In-Sample,Medoid 4,158,254,195179.99999999962,10.259298061812467,0.266199,13,
In-Sample,Medoid 5,32,102,98194.00000000001,10.259298061812467,0.258398,32,
Out-of-Sample,Best,132,256,24675.99999999987,9.85735294117647,0.06250711555841182,9,
Out-of-Sample,Medoid 1,138,246,26650.999999999804,9.85735294117647,0.06751095549649808,9,
Out-of-Sample,Medoid 2,26,82,95994.99999999965,9.85735294117647,0.24318036347186983,19,
Out-of-Sample,Medoid 3,152,172,52658.000000000204,9.85735294117647,0.13341367372947377,19,
Out-of-Sample,Medoid 4,158,254,-10523.000000000131,9.85735294117647,-0.026653583118627488,8,
Out-of-Sample,Medoid 5,32,102,-15111.999999999702,9.85735294117647,-0.03827464488321099,19,
Full,Best,132,256,381245.99999999965,10.092077087794433,0.4076133429734872,16,22.0
Full,Medoid 1,138,246,379233.99999999977,10.092077087794433,0.40547266207398636,16,22.0
Full,Medoid 2,26,82,368601.99999999994,10.092077087794433,0.3940656947420754,42,22.0
Full,Medoid 3,152,172,231987.99999999985,10.092077087794433,0.2479914945526882,40,22.0
Full,Medoid 4,158,254,184656.99999999953,10.092077087794433,0.19736477215554235,14,22.0
Full,Medoid 5,32,102,83082.00000000028,10.092077087794433,0.08878855270785543,38,22.0
