Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,132,256,356569.9999999999,10.259298061812467,0.6598909099417422,7,
In-Sample,Medoid 1,136,250,347042.99999999994,10.259298061812467,0.583859,14,
In-Sample,Medoid 2,138,236,255677.99999999962,10.259298061812467,0.456815,14,
In-Sample,Medoid 3,152,172,179329.9999999997,10.259298061812467,0.373709,34,
In-Sample,Medoid 4,32,60,59554.99999999989,10.259298061812467,0.364341,45,
In-Sample,Medoid 5,26,84,152775.0000000004,10.259298061812467,0.341228,36,
Out-of-Sample,Best,132,256,24675.99999999987,9.85735294117647,0.06250711555841182,9,
Out-of-Sample,Medoid 1,136,250,37990.00000000025,9.85735294117647,0.09623634965095017,9,
Out-of-Sample,Medoid 2,138,236,39750.999999999854,9.85735294117647,0.10069516032982559,9,
Out-of-Sample,Medoid 3,152,172,52658.000000000204,9.85735294117647,0.13341367372947377,19,
Out-of-Sample,Medoid 4,32,60,114118.99999999988,9.85735294117647,0.2891033926498235,20,
Out-of-Sample,Medoid 5,26,84,48274.99999999947,9.85735294117647,0.1222757303188264,19,
Full,Best,132,256,381245.99999999965,10.092077087794433,0.4076133429734872,16,22.0
Full,Medoid 1,136,250,385033.0000000001,10.092077087794433,0.41165700284920576,16,22.0
Full,Medoid 2,138,236,295428.9999999994,10.092077087794433,0.31581507395297465,18,22.0
Full,Medoid 3,152,172,231987.99999999985,10.092077087794433,0.2479914945526882,40,22.0
Full,Medoid 4,32,60,173673.99999999965,10.092077087794433,0.1856365611861908,56,22.0
Full,Medoid 5,26,84,201049.99999999983,10.092077087794433,0.21485818934096768,44,22.0
