Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,22,32,698765.0000000002,9.103195390256678,1.2322390168383428,60,
In-Sample,Medoid 1,20,32,675027.0000000009,9.103195390256678,1.091503,98,
In-Sample,Medoid 2,16,46,541862.0000000005,9.103195390256678,0.794844,64,
In-Sample,Medoid 3,126,208,251867.00000000017,9.103195390256678,0.65915,20,
In-Sample,Medoid 4,134,148,132043.00000000023,9.103195390256678,0.53683,36,
In-Sample,Medoid 5,64,244,155222.00000000026,9.103195390256678,0.490068,18,
Out-of-Sample,Best,22,32,356.00000000015643,7.638795986622074,0.0013248856853009601,33,
Out-of-Sample,Medoid 1,20,32,-96785.0000000002,7.638795986622074,-0.360210446512414,37,
Out-of-Sample,Medoid 2,16,46,-55696.99999999993,7.638795986622074,-0.2073106346783533,21,
Out-of-Sample,Medoid 3,126,208,-168280.00000000006,7.638795986622074,-0.626705988952655,10,
Out-of-Sample,Medoid 4,134,148,-151882.99999999994,7.638795986622074,-0.5656040823221953,16,
Out-of-Sample,Medoid 5,64,244,-270493.9999999999,7.638795986622074,-1.0085018534118677,8,
Full,Best,22,32,699121.0000000005,8.635067712045617,0.8360617007293876,93,17.0
Full,Medoid 1,20,32,578242.0000000007,8.635067712045617,0.6912346199837653,101,17.0
Full,Medoid 2,16,46,486165.0000000005,8.635067712045617,0.5810480399273533,65,17.0
Full,Medoid 3,126,208,83587.00000000017,8.635067712045617,0.099833577805277,22,17.0
Full,Medoid 4,134,148,-19839.999999999658,8.635067712045617,-0.023696383166784768,38,17.0
Full,Medoid 5,64,244,-115271.99999999962,8.635067712045617,-0.137667422660064,20,17.0
