Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,156,158,321435.0,7.685893774985723,0.6260810505695747,50,
In-Sample,Medoid 1,154,164,242945.0,7.685893774985723,0.473023,41,
In-Sample,Medoid 2,146,180,179865.0,7.685893774985723,0.350124,19,
In-Sample,Medoid 3,146,164,159515.0,7.685893774985723,0.310488,37,
In-Sample,Medoid 4,22,162,116045.0,7.685893774985723,0.225852,21,
In-Sample,Medoid 5,22,274,88250.0,7.685893774985723,0.171751,18,
Out-of-Sample,Best,156,158,-40295.0,7.464659685863874,-0.19468136800456365,29,
Out-of-Sample,Medoid 1,154,164,-62965.0,7.464659685863874,-0.30424037238740315,19,
Out-of-Sample,Medoid 2,146,180,-50110.0,7.464659685863874,-0.24206834170558408,7,
Out-of-Sample,Medoid 3,146,164,-26300.0,7.464659685863874,-0.12704767474345866,15,
Out-of-Sample,Medoid 4,22,162,-75880.0,7.464659685863874,-0.36656531826063615,9,
Out-of-Sample,Medoid 5,22,274,-212220.0,7.464659685863874,-1.0271609711885044,10,
Full,Best,156,158,281140.0,7.618687872763419,0.3900681467905826,79,14.0
Full,Medoid 1,154,164,179980.0,7.618687872763419,0.24966116429765972,41,14.0
Full,Medoid 2,146,180,129755.0,7.618687872763419,0.17996811266403578,19,14.0
Full,Medoid 3,146,164,133215.0,7.618687872763419,0.18476900599589607,37,14.0
Full,Medoid 4,22,162,40165.0,7.618687872763419,0.0557016103975546,21,14.0
Full,Medoid 5,22,274,-123970.0,7.618687872763419,-0.1719381421203251,18,14.0
