Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,156,158,321435.0,7.685893774985723,0.6260810505695747,50,
In-Sample,Medoid 1,148,176,166790.0,7.685893774985723,0.324657,23,
In-Sample,Medoid 2,26,148,114690.0,7.685893774985723,0.223218,23,
In-Sample,Medoid 3,22,182,94435.0,7.685893774985723,0.18379,19,
In-Sample,Medoid 4,24,220,72830.0,7.685893774985723,0.141741,18,
In-Sample,Medoid 5,154,186,65265.0,7.685893774985723,0.127005,19,
Out-of-Sample,Best,156,158,-40295.0,7.464659685863874,-0.19468136800456365,29,
Out-of-Sample,Medoid 1,148,176,-15065.0,7.464659685863874,-0.07277286790493927,9,
Out-of-Sample,Medoid 2,26,148,-116570.0,7.464659685863874,-0.563328269177787,9,
Out-of-Sample,Medoid 3,22,182,-77030.0,7.464659685863874,-0.37219621928339675,9,
Out-of-Sample,Medoid 4,24,220,-161565.0,7.464659685863874,-0.7813245546176452,10,
Out-of-Sample,Medoid 5,154,186,-62405.0,7.464659685863874,-0.3014886170742755,7,
Full,Best,156,158,281140.0,7.618687872763419,0.3900681467905826,79,14.0
Full,Medoid 1,148,176,151725.0,7.618687872763419,0.210447464994455,23,14.0
Full,Medoid 2,26,148,-1880.0,7.618687872763419,-0.002607220193081726,23,14.0
Full,Medoid 3,22,182,17405.0,7.618687872763419,0.024139021593130257,19,14.0
Full,Medoid 4,24,220,-88735.0,7.618687872763419,-0.12306900617737913,18,14.0
Full,Medoid 5,154,186,2860.0,7.618687872763419,0.003966269144523532,19,14.0
