Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,15,40,419679.9999999999,8.1841046277666,0.717831678093077,43,
In-Sample,Medoid 1,25,50,377760.00000000035,8.1841046277666,0.645951,58,
In-Sample,Medoid 2,220,245,304020.0000000002,8.1841046277666,0.637879,23,
In-Sample,Medoid 3,200,265,224720.00000000006,8.1841046277666,0.432894,15,
In-Sample,Medoid 4,240,270,142770.00000000003,8.1841046277666,0.249175,26,
In-Sample,Medoid 5,135,250,132509.99999999997,8.1841046277666,0.229684,13,
Out-of-Sample,Best,15,40,-231269.9999999997,7.620164126611958,-0.9873528788021373,31,
Out-of-Sample,Medoid 1,25,50,-87690.00000000004,7.620164126611958,-0.37392344545730627,26,
Out-of-Sample,Medoid 2,220,245,-54249.99999999987,7.620164126611958,-0.23127989290855375,8,
Out-of-Sample,Medoid 3,200,265,-46110.00000000016,7.620164126611958,-0.1965588440126403,6,
Out-of-Sample,Medoid 4,240,270,74710.00000000006,7.620164126611958,0.3185619141781639,8,
Out-of-Sample,Medoid 5,135,250,43430.000000000124,7.620164126611958,0.18513391008989682,4,
Full,Best,15,40,188410.00000000012,8.014783526927138,0.22974206301293976,74,15.0
Full,Medoid 1,25,50,290070.0000000003,8.014783526927138,0.3537766954330588,58,15.0
Full,Medoid 2,220,245,249770.00000000023,8.014783526927138,0.30462138150334683,23,15.0
Full,Medoid 3,200,265,178609.99999999983,8.014783526927138,0.21781763098001658,15,15.0
Full,Medoid 4,240,270,217480.00000000003,8.014783526927138,0.26524870545811374,25,15.0
Full,Medoid 5,135,250,175940.00000000003,8.014783526927138,0.21455048085626088,13,15.0
