Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,15,40,419679.9999999999,8.1841046277666,0.717831678093077,43,
In-Sample,Medoid 1,220,245,304020.0000000002,8.1841046277666,0.637879,23,
In-Sample,Medoid 2,20,55,312490.00000000006,8.1841046277666,0.534221,58,
In-Sample,Medoid 3,35,55,229019.99999999988,8.1841046277666,0.391435,56,
In-Sample,Medoid 4,210,255,159120.0000000001,8.1841046277666,0.342454,17,
In-Sample,Medoid 5,35,80,161550.00000000023,8.1841046277666,0.276077,32,
Out-of-Sample,Best,15,40,-231269.9999999997,7.620164126611958,-0.9873528788021373,31,
Out-of-Sample,Medoid 1,220,245,-54249.99999999987,7.620164126611958,-0.23127989290855375,8,
Out-of-Sample,Medoid 2,20,55,-111650.0000000005,7.620164126611958,-0.47613585764686184,26,
Out-of-Sample,Medoid 3,35,55,-22540.00000000002,7.620164126611958,-0.09607811850051563,26,
Out-of-Sample,Medoid 4,210,255,-70269.99999999984,7.620164126611958,-0.2996022248557353,6,
Out-of-Sample,Medoid 5,35,80,30980.000000000175,7.620164126611958,0.13205542523406275,10,
Full,Best,15,40,188410.00000000012,8.014783526927138,0.22974206301293976,74,15.0
Full,Medoid 1,220,245,249770.00000000023,8.014783526927138,0.30462138150334683,23,15.0
Full,Medoid 2,20,55,200839.99999999956,8.014783526927138,0.24491848026546656,58,15.0
Full,Medoid 3,35,55,206479.99999999988,8.014783526927138,0.2518022665090776,56,15.0
Full,Medoid 4,210,255,88850.00000000019,8.014783526927138,0.10834279049085174,17,15.0
Full,Medoid 5,35,80,192530.00000000032,8.014783526927138,0.23478742589167445,32,15.0
