Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,160,204,0.5506,19
2,186,188,0.452933,89
3,16,292,0.389746,21
4,170,178,0.34921,48
5,126,232,0.267488,15
6,116,210,0.254393,17
7,20,264,0.244608,22
8,68,244,0.23079,12
9,154,180,0.210405,29
10,86,278,0.185692,13
11,128,266,0.18492,12
12,180,224,0.147757,17
13,26,64,0.110276,60
14,232,286,0.09965,13
15,48,282,0.097588,17
16,76,220,0.085048,18
17,62,192,0.067767,20
18,200,220,0.052849,23
19,126,142,0.052138,45
20,128,180,0.028256,23
21,42,106,0.027576,36
22,34,248,0.026897,18
23,22,36,-0.003832,104
24,170,254,-0.010092,14
25,24,46,-0.024337,78
26,22,28,-0.043176,150
27,102,168,-0.057156,19
28,48,130,-0.068962,26
29,122,128,-0.089426,73
30,190,284,-0.120269,15
31,126,128,-0.127829,119
32,82,136,-0.131056,24
33,50,160,-0.15974,20
34,250,280,-0.164847,19
35,254,260,-0.176322,42
36,108,130,-0.190819,41
37,26,218,-0.201838,28
38,32,42,-0.20415,107
39,214,264,-0.253295,14
40,40,86,-0.261787,44
41,20,172,-0.262657,36
42,82,88,-0.337134,76
43,44,58,-0.338551,67
44,266,284,-0.349164,23
45,226,252,-0.365382,20
46,264,268,-0.451853,51
47,74,76,-0.468813,144
48,58,96,-0.507639,44
