Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,20,22,499900.0,4.395918367346939,0.8015071405070584,175,
In-Sample,Medoid 1,160,204,325770.0,4.395918367346939,0.5506,19,
In-Sample,Medoid 2,186,188,241945.0,4.395918367346939,0.452933,89,
In-Sample,Medoid 3,16,292,119935.0,4.395918367346939,0.389746,21,
In-Sample,Medoid 4,170,178,161360.0,4.395918367346939,0.34921,48,
In-Sample,Medoid 5,126,232,144520.0,4.395918367346939,0.267488,15,
Out-of-Sample,Best,20,22,26690.0,2.878619153674833,0.08992216894924686,81,
Out-of-Sample,Medoid 1,160,204,147600.0,2.878619153674833,0.4976683196171339,7,
Out-of-Sample,Medoid 2,186,188,150130.0,2.878619153674833,0.5062589183110832,35,
Out-of-Sample,Medoid 3,16,292,83515.0,2.878619153674833,0.28150258164167186,6,
Out-of-Sample,Medoid 4,170,178,124460.0,2.878619153674833,0.4196557915761945,18,
Out-of-Sample,Medoid 5,126,232,203760.0,2.878619153674833,0.6874467191668202,5,
Full,Best,20,22,526590.0,3.919174247725682,0.5718744202227227,256,8.0
Full,Medoid 1,160,204,473370.0,3.919174247725682,0.513975586098117,19,8.0
Full,Medoid 2,186,188,392075.0,3.919174247725682,0.425684255035112,81,8.0
Full,Medoid 3,16,292,203450.0,3.919174247725682,0.2208041415166227,20,8.0
Full,Medoid 4,170,178,285820.0,3.919174247725682,0.31025703639224395,46,8.0
Full,Medoid 5,126,232,348280.0,3.919174247725682,0.3780782810498565,15,8.0
