Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,112,174,528830.0000000002,3.6235955056179776,0.8496403436459979,12,
In-Sample,Medoid 1,106,176,563070.0,3.6235955056179776,0.863864,14,
In-Sample,Medoid 2,52,164,359129.99999999994,3.6235955056179776,0.832874,14,
In-Sample,Medoid 3,84,198,420490.0000000002,3.6235955056179776,0.763665,13,
In-Sample,Medoid 4,102,144,492100.0,3.6235955056179776,0.746474,22,
In-Sample,Medoid 5,102,106,479140.0000000001,3.6235955056179776,0.706813,71,
Out-of-Sample,Best,112,174,91779.99999999996,1.3527481542247743,0.21337551333107801,8,
Out-of-Sample,Medoid 1,106,176,-41300.00000000006,1.3527481542247743,-0.09600615103851293,8,
Out-of-Sample,Medoid 2,52,164,-12180.000000000087,1.3527481542247743,-0.028311977031214214,8,
Out-of-Sample,Medoid 3,84,198,-45100.00000000006,1.3527481542247743,-0.10483679079866128,8,
Out-of-Sample,Medoid 4,102,144,-183940.00000000003,1.3527481542247743,-0.4278141547794176,10,
Out-of-Sample,Medoid 5,102,106,-145760.00000000003,1.3527481542247743,-0.3389305191315223,34,
Full,Best,112,174,620610.0000000002,2.7522820270695623,0.5886207992263504,20,6.0
Full,Medoid 1,106,176,521769.9999999999,2.7522820270695623,0.49475462067811793,18,6.0
Full,Medoid 2,52,164,346949.9999999998,2.7522820270695623,0.32888443514832333,18,6.0
Full,Medoid 3,84,198,375390.0000000001,2.7522820270695623,0.35587032952938447,20,6.0
Full,Medoid 4,102,144,308159.9999999999,2.7522820270695623,0.2921526035935173,28,6.0
Full,Medoid 5,102,106,333380.0000000001,2.7522820270695623,0.31605107205230737,80,6.0
