Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,112,174,528830.0000000002,3.6235955056179776,0.8496403436459979,12,
In-Sample,Medoid 1,106,180,575660.0,3.6235955056179776,0.87884,14,
In-Sample,Medoid 2,34,234,445090.0000000001,3.6235955056179776,0.845722,16,
In-Sample,Medoid 3,52,170,357230.00000000006,3.6235955056179776,0.776317,14,
In-Sample,Medoid 4,102,126,505929.99999999994,3.6235955056179776,0.722068,31,
In-Sample,Medoid 5,106,152,469569.9999999999,3.6235955056179776,0.698043,20,
Out-of-Sample,Best,112,174,91779.99999999996,1.3527481542247743,0.21337551333107801,8,
Out-of-Sample,Medoid 1,106,180,16799.99999999994,1.3527481542247743,0.039053663582909764,8,
Out-of-Sample,Medoid 2,34,234,-131500.0,1.3527481542247743,-0.30571252615629535,9,
Out-of-Sample,Medoid 3,52,170,-76660.00000000012,1.3527481542247743,-0.17819446681944384,8,
Out-of-Sample,Medoid 4,102,126,-196160.00000000012,1.3527481542247743,-0.4561677102214435,16,
Out-of-Sample,Medoid 5,106,152,-89980.0,1.3527481542247743,-0.2091875330660689,10,
Full,Best,112,174,620610.0000000002,2.7522820270695623,0.5886207992263504,20,6.0
Full,Medoid 1,106,180,592459.9999999999,2.7522820270695623,0.5618694123092621,18,6.0
Full,Medoid 2,34,234,313590.0,2.7522820270695623,0.2972191995850706,21,6.0
Full,Medoid 3,52,170,280569.99999999994,2.7522820270695623,0.2659520002278447,18,6.0
Full,Medoid 4,102,126,309769.99999999977,2.7522820270695623,0.2936613845775971,38,6.0
Full,Medoid 5,106,152,379589.9999999999,2.7522820270695623,0.35980993970986885,26,6.0
