Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,20,112,0.192049,40
2,256,286,0.113128,28
3,120,134,0.105095,53
4,134,136,0.065252,129
5,130,162,0.057327,36
6,18,190,0.053985,34
7,272,284,0.052299,45
8,128,134,0.049635,89
9,222,286,0.018651,15
10,132,166,0.012223,36
11,36,40,-0.047596,132
12,116,268,-0.050103,16
13,98,260,-0.075753,14
14,30,32,-0.08524,186
15,26,34,-0.0893,102
16,122,204,-0.099623,20
17,212,274,-0.1171,17
18,26,44,-0.14478,78
19,106,114,-0.145563,68
20,20,142,-0.146325,36
21,126,206,-0.147681,20
22,224,240,-0.149407,45
23,256,258,-0.18408,110
24,26,80,-0.203702,44
25,236,240,-0.212835,83
26,138,284,-0.223831,12
27,52,164,-0.232347,24
28,84,134,-0.24895,30
29,40,74,-0.263274,48
30,34,192,-0.286431,24
31,40,224,-0.295839,24
32,218,248,-0.31598,31
33,68,288,-0.367071,18
34,18,264,-0.398813,30
35,74,128,-0.417998,33
36,90,228,-0.445966,18
37,78,184,-0.457973,20
38,158,234,-0.487018,17
39,80,86,-0.509687,87
40,172,274,-0.519398,13
41,60,266,-0.535761,20
42,70,84,-0.566919,55
43,76,216,-0.621471,22
44,28,280,-0.623858,26
45,164,194,-0.628516,39
46,182,234,-0.698929,23
47,56,112,-0.720704,34
48,196,198,-0.724031,113
49,180,200,-0.890541,43
