Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,122,126,267315.0000000001,6.649131767109295,0.5118615053221,52,
In-Sample,Medoid 1,20,112,55644.99999999988,6.649131767109295,0.192049,40,
In-Sample,Medoid 2,256,286,262465.0,6.649131767109295,0.113128,28,
In-Sample,Medoid 3,120,134,132574.99999999988,6.649131767109295,0.105095,53,
In-Sample,Medoid 4,134,136,187054.99999999933,6.649131767109295,0.065252,129,
In-Sample,Medoid 5,130,162,70265.0,6.649131767109295,0.057327,36,
Out-of-Sample,Best,122,126,-11639.999999999985,4.792300805729633,-0.03937918314738504,51,
Out-of-Sample,Medoid 1,20,112,-122180.00000000004,4.792300805729633,-0.4135362508658998,17,
Out-of-Sample,Medoid 2,256,286,-163119.99999999994,4.792300805729633,-0.5522272479078214,8,
Out-of-Sample,Medoid 3,120,134,-116490.00000000025,4.792300805729633,-0.3941985967581624,21,
Out-of-Sample,Medoid 4,134,136,-175129.99999999977,4.792300805729633,-0.5929794012794007,68,
Out-of-Sample,Medoid 5,130,162,-122150.0,4.792300805729633,-0.4134676884234362,14,
Full,Best,122,126,255675.00000000017,5.974634146341463,0.3126322916435989,103,11.0
Full,Medoid 1,20,112,-66535.00000000016,5.974634146341463,-0.08134466040600023,45,11.0
Full,Medoid 2,256,286,99345.0,5.974634146341463,0.12145857867327292,29,11.0
Full,Medoid 3,120,134,16084.999999999593,5.974634146341463,0.019665386111214156,55,11.0
Full,Medoid 4,134,136,11924.999999999563,5.974634146341463,0.014577859668814702,135,11.0
Full,Medoid 5,130,162,-51885.00000000003,5.974634146341463,-0.06344109010055853,37,11.0
