Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,122,126,267315.0000000001,6.649131767109295,0.5118615053221,52,
In-Sample,Medoid 1,122,140,241114.99999999983,6.649131767109295,0.228626,49,
In-Sample,Medoid 2,20,112,55644.99999999988,6.649131767109295,0.192049,40,
In-Sample,Medoid 3,258,284,282794.9999999999,6.649131767109295,0.1315,32,
In-Sample,Medoid 4,26,46,-67095.0,6.649131767109295,0.096799,72,
In-Sample,Medoid 5,110,136,112165.00000000025,6.649131767109295,0.063468,41,
Out-of-Sample,Best,122,126,-11639.999999999985,4.792300805729633,-0.03937918314738504,51,
Out-of-Sample,Medoid 1,122,140,-88160.00000000007,4.792300805729633,-0.29831072351186105,22,
Out-of-Sample,Medoid 2,20,112,-122180.00000000004,4.792300805729633,-0.4135362508658998,17,
Out-of-Sample,Medoid 3,258,284,-146960.0,4.792300805729633,-0.4975139437632882,9,
Out-of-Sample,Medoid 4,26,46,14150.00000000003,4.792300805729633,0.04788001978517204,27,
Out-of-Sample,Medoid 5,110,136,32419.999999999825,4.792300805729633,0.10970173946551064,15,
Full,Best,122,126,255675.00000000017,5.974634146341463,0.3126322916435989,103,11.0
Full,Medoid 1,122,140,152954.99999999965,5.974634146341463,0.18701550326937033,51,11.0
Full,Medoid 2,20,112,-66535.00000000016,5.974634146341463,-0.08134466040600023,45,11.0
Full,Medoid 3,258,284,135834.9999999999,5.974634146341463,0.16609731617939855,33,11.0
Full,Medoid 4,26,46,-52945.00000000004,5.974634146341463,-0.0647319042395638,81,11.0
Full,Medoid 5,110,136,144585.0000000001,5.974634146341463,0.1768089401913289,43,11.0
