Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,42,50,430946.0,3.4184977005620847,0.7317814008215742,66,
In-Sample,Medoid 1,42,90,331292.0,3.4184977005620847,0.635529,35,
In-Sample,Medoid 2,22,72,294120.80000000005,3.4184977005620847,0.545219,50,
In-Sample,Medoid 3,60,64,308908.79999999993,3.4184977005620847,0.543946,105,
In-Sample,Medoid 4,24,28,214575.99999999988,3.4184977005620847,0.486272,147,
In-Sample,Medoid 5,20,100,195738.40000000002,3.4184977005620847,0.405962,42,
Out-of-Sample,Best,42,50,-80637.9999999999,2.374085684430512,-0.26398681258091256,34,
Out-of-Sample,Medoid 1,42,90,2806.3999999999796,2.374085684430512,0.009187045297995624,16,
Out-of-Sample,Medoid 2,22,72,-41599.59999999982,2.374085684430512,-0.13617840036745182,20,
Out-of-Sample,Medoid 3,60,64,28960.799999999937,2.374085684430512,0.09481251680314322,35,
Out-of-Sample,Medoid 4,24,28,109378.40000000031,2.374085684430512,0.35816833329423736,52,
Out-of-Sample,Medoid 5,20,100,50232.80000000015,2.374085684430512,0.16446420076143917,16,
Full,Best,42,50,350308.00000000023,3.0754975978037065,0.39134872001162957,100,5.0
Full,Medoid 1,42,90,334098.39999999997,3.0754975978037065,0.3732148158272455,36,5.0
Full,Medoid 2,22,72,252521.20000000027,3.0754975978037065,0.28203927838507803,52,5.0
Full,Medoid 3,60,64,337869.59999999986,3.0754975978037065,0.37743057309003053,107,5.0
Full,Medoid 4,24,28,323954.40000000026,3.0754975978037065,0.3618612337004924,153,5.0
Full,Medoid 5,20,100,245971.20000000024,3.0754975978037065,0.2747336462954433,44,5.0
