Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,176,182,0.730292,49
2,46,184,0.699021,13
3,160,206,0.688627,14
4,168,190,0.619853,22
5,156,222,0.602361,12
6,54,208,0.514126,13
7,142,234,0.501532,12
8,128,276,0.489572,14
9,200,236,0.472926,12
10,28,276,0.457439,16
11,54,88,0.453044,34
12,40,166,0.442334,15
13,38,118,0.427804,21
14,72,196,0.425442,14
15,30,54,0.408772,58
16,38,252,0.407124,14
17,32,72,0.370465,40
18,50,292,0.369693,10
19,104,196,0.359625,13
20,28,198,0.343212,19
21,36,120,0.314414,21
22,104,228,0.305175,13
23,102,104,0.304891,90
24,116,130,0.294921,32
25,186,250,0.293773,10
26,196,204,0.289074,40
27,76,140,0.288771,20
28,76,130,0.276317,24
29,96,268,0.269532,13
30,126,174,0.255396,19
31,264,288,0.248475,12
32,14,148,0.240222,32
33,26,52,0.240158,60
34,64,262,0.24004,15
35,30,38,0.233242,100
36,206,274,0.202888,10
37,16,222,0.190741,26
38,220,282,0.120596,10
39,212,216,0.115851,52
40,122,158,0.095574,18
41,86,114,0.081701,30
42,28,32,-0.001646,140
43,248,258,-0.038919,23
44,58,70,-0.043567,50
45,16,30,-0.053503,100
46,128,138,-0.22537,45
47,14,42,-0.250851,82
