Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,180,184,395287.2,16.37139863803038,0.7756468901951703,29,
In-Sample,Medoid 1,164,200,356776.00000000006,16.37139863803038,0.726112,16,
In-Sample,Medoid 2,48,184,281033.2000000002,16.37139863803038,0.686883,13,
In-Sample,Medoid 3,162,210,324200.79999999993,16.37139863803038,0.639689,14,
In-Sample,Medoid 4,44,184,201748.40000000008,16.37139863803038,0.638361,13,
In-Sample,Medoid 5,38,226,219861.60000000003,16.37139863803038,0.601407,15,
Out-of-Sample,Best,180,184,383191.2,12.21039603960396,1.224614901100732,36,
Out-of-Sample,Medoid 1,164,200,192116.39999999994,12.21039603960396,0.6124334411902391,10,
Out-of-Sample,Medoid 2,48,184,-91963.19999999997,12.21039603960396,-0.29297552831462403,8,
Out-of-Sample,Medoid 3,162,210,166157.6,12.21039603960396,0.5295679378800927,10,
Out-of-Sample,Medoid 4,44,184,-85139.59999999995,12.21039603960396,-0.2712179812283035,8,
Out-of-Sample,Medoid 5,38,226,11939.200000000033,12.21039603960396,0.038025652933248485,8,
Full,Best,180,184,778478.4,14.755527074655559,0.9464728795418744,65,30.0
Full,Medoid 1,164,200,548892.4,14.755527074655559,0.6666190413123952,17,30.0
Full,Medoid 2,48,184,189070.00000000023,14.755527074655559,0.22940951076281726,16,30.0
Full,Medoid 3,162,210,490358.4,14.755527074655559,0.5953908661964031,15,30.0
Full,Medoid 4,44,184,116608.79999999999,14.755527074655559,0.14149316622068656,16,30.0
Full,Medoid 5,38,226,231800.8,14.755527074655559,0.2812756757260769,18,30.0
