Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,234,260,0.330945,19
2,40,148,0.326949,31
3,40,52,0.30339,76
4,38,252,0.301889,17
5,190,236,0.272797,19
6,52,278,0.210363,13
7,24,60,0.171123,58
8,50,232,0.158944,17
9,126,222,0.118375,11
10,218,262,0.105123,19
11,228,232,0.086296,49
12,24,276,0.078387,23
13,192,200,0.077382,51
14,42,204,0.07491,19
15,118,126,0.02824,61
16,24,40,-0.009755,80
17,238,276,-0.012585,17
18,170,228,-0.016681,19
19,16,224,-0.029112,33
20,40,128,-0.032084,40
21,24,172,-0.04266,34
22,100,144,-0.081037,32
23,36,40,-0.104854,134
24,72,174,-0.112418,19
25,98,128,-0.140375,38
26,146,192,-0.158588,29
27,16,20,-0.169119,203
28,66,136,-0.184886,29
29,82,232,-0.186078,13
30,96,208,-0.189114,13
31,22,80,-0.190591,54
32,92,100,-0.193372,67
33,278,280,-0.226457,57
34,266,288,-0.270208,17
35,164,210,-0.292507,23
36,68,172,-0.336889,19
37,180,182,-0.341806,105
38,112,114,-0.34725,120
39,22,28,-0.351645,148
40,170,182,-0.383294,53
41,36,114,-0.394176,42
42,14,36,-0.424859,96
43,52,96,-0.463762,47
44,134,174,-0.509798,31
45,14,124,-0.574459,66
46,164,176,-0.632362,55
47,68,76,-0.650459,73
48,46,82,-0.674524,48
49,106,186,-0.794818,19
