period_label,date,trading_days,Best_sharpe,Best_return,Medoid_1_sharpe,Medoid_1_return,Medoid_2_sharpe,Medoid_2_return,Avg_Medoid_sharpe,Avg_Medoid_return,Best_sharpe_rounded,Avg_Medoid_sharpe_rounded
2021-07,2021-07-15,39,1.928422848826792,14319.999999999996,-1.1821862923811595,-8805.999999999993,1.928422848826792,14319.999999999996,0.3731182782228163,2757.000000000002,1.93,0.37
2021-09,2021-09-15,42,1.4596877305272433,14090.000000000024,1.0149862681450812,9824.000000000005,1.4596877305272433,14090.000000000024,1.2373369993361623,11957.000000000015,1.46,1.24
2021-11,2021-11-15,43,-1.3172187978864858,-19568.00000000002,2.1951024979136355,32440.000000000004,-2.682922673468903,-39448.0,-0.24391008777763368,-3503.999999999998,-1.32,-0.24
2022-01,2022-01-15,39,2.9338987080407786,34220.00000000001,-3.5189110294162087,-40755.99999999997,2.9338987080407786,34220.00000000001,-0.29250616068771507,-3267.999999999982,2.93,-0.29
2022-03,2022-03-15,43,-0.6757107400424215,-6590.000000000005,2.0783462605257905,20120.00000000003,-0.6757107400424215,-6590.000000000005,0.7013177602416845,6765.000000000013,-0.68,0.7
2022-05,2022-05-15,42,-5.556223883495539,-60432.00000000004,1.8825626169821015,21527.99999999997,-4.066806736776715,-45383.99999999999,-1.0921220598973067,-11928.000000000011,-5.56,-1.09
2022-07,2022-07-15,43,0.09192324898501515,1340.0000000000255,-0.15032660741683038,-2189.9999999999636,0.19478756689839782,2840.000000000029,0.022230479740783723,325.00000000003274,0.09,0.02
2022-09,2022-09-15,42,0.8040874433610217,8570.0,0.6687024036860928,7133.9999999999645,0.8040874433610217,8570.0,0.7363949235235572,7851.999999999982,0.8,0.74
2022-11,2022-11-15,42,-2.5382401143363476,-33255.99999999992,-2.9123128247713095,-38036.00000000001,-0.8839377522607372,-11715.999999999993,-1.8981252885160234,-24876.0,-2.54,-1.9
2023-01,2023-01-15,39,1.7973327661836138,17576.000000000022,1.543264161887499,15092.000000000022,0.7833107700155129,7700.000000000011,1.1632874659515058,11396.000000000016,1.8,1.16
2023-03,2023-03-15,42,-2.364819137664977,-24690.00000000001,-1.8721834000241793,-19639.999999999985,-2.364819137664977,-24690.00000000001,-2.118501268844578,-22165.0,-2.36,-2.12
2023-05,2023-05-15,43,0.5557059065340973,8711.999999999985,1.0799923853005038,16906.000000000022,-0.1266525561745179,-1988.0000000000218,0.47666991456299296,7459.0,0.56,0.48
2023-07,2023-07-15,43,-0.8043351502871805,-7680.0000000000055,-2.35695839373348,-22282.000000000022,-2.017849843732314,-19118.000000000036,-2.187404118732897,-20700.00000000003,-0.8,-2.19
2023-09,2023-09-15,42,0.7140244014798955,9810.00000000004,-1.5160804776532755,-20719.999999999964,-2.6274238630976505,-35565.99999999999,-2.071752170375463,-28142.999999999978,0.71,-2.07
2023-11,2023-11-15,41,-2.9387125463338855,-27920.000000000015,0.7850553925294468,7579.999999999987,-0.43572208552578434,-4210.000000000024,0.17466665350183122,1684.9999999999818,-2.94,0.17
2024-01,2024-01-15,41,0.48712114752818625,4697.999999999979,3.853650246743574,36129.99999999998,0.13854492920558392,1338.0000000000337,1.996097587974579,18734.000000000007,0.49,2.0
2024-03,2024-03-15,42,-2.037011486086569,-19579.999999999964,-3.3872021957554406,-32145.999999999898,-2.037011486086569,-19579.999999999964,-2.7121068409210047,-25862.99999999993,-2.04,-2.71
2024-05,2024-05-15,41,-2.8393848526040513,-36727.999999999985,0.7243661537678543,9512.000000000051,-2.3955396929738355,-31127.999999999985,-0.8355867696029906,-10807.999999999967,-2.84,-0.84
2024-07,2024-07-15,44,-2.759084443387422,-31322.00000000003,-2.6570246187282414,-30183.999999999985,-0.8781718133775357,-10116.000000000013,-1.7675982160528885,-20150.0,-2.76,-1.77
2024-09,2024-09-15,43,-1.7199554844117044,-18531.999999999993,0.3207118783595503,3476.0000000000127,0.7516023009268988,8140.000000000042,0.5361570896432246,5808.000000000027,-1.72,0.54
2024-11,2024-11-15,41,-1.1806400568910966,-14403.999999999956,-0.8322045617592282,-10184.000000000018,-2.3507409583272585,-28449.999999999996,-1.5914727600432435,-19317.000000000007,-1.18,-1.59
