Rank,Short_SMA,Long_SMA,Sharpe,Trades
1,18,22,0.386197,174
2,54,92,0.283917,33
3,22,72,0.155556,49
4,58,60,0.130482,123
5,166,204,0.023566,27
6,26,94,0.017347,37
7,28,48,-0.011418,63
8,30,68,-0.038036,45
9,30,38,-0.114494,91
10,42,140,-0.136343,23
11,64,114,-0.141995,27
12,18,186,-0.143911,31
13,228,252,-0.14781,23
14,94,102,-0.170261,45
15,148,202,-0.177939,23
16,166,246,-0.191325,15
17,52,160,-0.270723,19
18,20,124,-0.27697,33
19,24,240,-0.292832,25
20,76,208,-0.299883,15
21,54,252,-0.300323,17
22,196,254,-0.315942,17
23,194,202,-0.328534,43
24,182,186,-0.328854,62
25,208,210,-0.34534,84
26,144,266,-0.348631,16
27,190,218,-0.357269,28
28,92,128,-0.375728,25
29,50,196,-0.380169,17
30,20,150,-0.406095,31
31,150,176,-0.452833,27
32,232,276,-0.457989,18
33,122,262,-0.48328,14
34,84,162,-0.506156,21
35,20,288,-0.599656,30
36,106,230,-0.600596,15
37,194,288,-0.616322,14
38,264,266,-0.641777,66
39,116,196,-0.653419,21
40,248,286,-0.677128,20
41,114,136,-0.693119,27
42,56,284,-0.772837,18
43,112,280,-0.797535,14
44,276,286,-0.79789,34
45,88,288,-0.984714,18
46,122,168,-1.021504,23
47,262,296,-1.127507,18
48,140,142,-1.226997,83
49,130,150,-1.238945,31
