Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,70,74,307992.00000000023,10.377684651650078,0.5848508610116803,66,
In-Sample,Medoid 1,18,22,65697.9999999998,10.377684651650078,0.386197,174,
In-Sample,Medoid 2,54,92,120989.99999999991,10.377684651650078,0.283917,33,
In-Sample,Medoid 3,22,72,52362.00000000014,10.377684651650078,0.155556,49,
In-Sample,Medoid 4,58,60,33226.0,10.377684651650078,0.130482,123,
In-Sample,Medoid 5,166,204,-45022.00000000005,10.377684651650078,0.023566,27,
Out-of-Sample,Best,70,74,-182803.99999999983,7.045731707317073,-0.6728426515554452,25,
Out-of-Sample,Medoid 1,18,22,18490.000000000247,7.045731707317073,0.06799414386956408,58,
Out-of-Sample,Medoid 2,54,92,-177863.9999999999,7.045731707317073,-0.6546184357847563,15,
Out-of-Sample,Medoid 3,22,72,-178514.00000000017,7.045731707317073,-0.6569197398915956,21,
Out-of-Sample,Medoid 4,58,60,-254591.9999999999,7.045731707317073,-0.9377487309642691,39,
Out-of-Sample,Medoid 5,166,204,-318582.00000000006,7.045731707317073,-1.1746993218045456,11,
Full,Best,70,74,125188.00000000041,9.244382993432422,0.15672922728109895,91,19.0
Full,Medoid 1,18,22,84188.00000000006,9.244382993432422,0.10535164682284856,188,19.0
Full,Medoid 2,54,92,-56873.99999999991,9.244382993432422,-0.07118846816672143,35,19.0
Full,Medoid 3,22,72,-126152.00000000006,9.244382993432422,-0.15788658828007493,53,19.0
Full,Medoid 4,58,60,-221365.99999999983,9.244382993432422,-0.27712983087764864,131,19.0
Full,Medoid 5,166,204,-363604.00000000006,9.244382993432422,-0.4553078364896491,29,19.0
