Period,Strategy,Short_SMA,Long_SMA,PnL,Avg_Position,Sharpe,Trades,Max_Position
In-Sample,Best,70,74,307992.00000000023,10.377684651650078,0.5848508610116803,66,
In-Sample,Medoid 1,56,80,112027.99999999971,10.377684651650078,0.331014,39,
In-Sample,Medoid 2,16,78,136284.00000000012,10.377684651650078,0.262666,49,
In-Sample,Medoid 3,52,94,81404.0,10.377684651650078,0.218876,33,
In-Sample,Medoid 4,14,30,42374.000000000306,10.377684651650078,0.215377,90,
In-Sample,Medoid 5,28,102,9866.000000000124,10.377684651650078,0.125749,35,
Out-of-Sample,Best,70,74,-182803.99999999983,7.045731707317073,-0.6728426515554452,25,
Out-of-Sample,Medoid 1,56,80,-154396.00000000003,7.045731707317073,-0.568113920202429,15,
Out-of-Sample,Medoid 2,16,78,-160061.99999999983,7.045731707317073,-0.5889074589986557,21,
Out-of-Sample,Medoid 3,52,94,-197758.00000000003,7.045731707317073,-0.7279457494817909,15,
Out-of-Sample,Medoid 4,14,30,154667.99999999997,7.045731707317073,0.5690359737355972,28,
Out-of-Sample,Medoid 5,28,102,-37742.00000000003,7.045731707317073,-0.1388008590379533,15,
Full,Best,70,74,125188.00000000041,9.244382993432422,0.15672922728109895,91,19.0
Full,Medoid 1,56,80,-42368.00000000023,9.244382993432422,-0.05303316709848805,43,19.0
Full,Medoid 2,16,78,-23777.99999999971,9.244382993432422,-0.029758088273023616,51,19.0
Full,Medoid 3,52,94,-116354.00000000001,9.244382993432422,-0.1456519017733057,35,19.0
Full,Medoid 4,14,30,197042.0000000003,9.244382993432422,0.24660347662409637,98,19.0
Full,Medoid 5,28,102,-27875.999999999956,9.244382993432422,-0.03488990306387251,37,19.0
